kegg_id	pathway_name	gene_id
04659	Th17 cell differentiation	jak2(3of3)
04659	Th17 cell differentiation	hla-dpb1(1of2)
04659	Th17 cell differentiation	hla-dpb1(2of2)
04659	Th17 cell differentiation	mapk12(1of3)
04659	Th17 cell differentiation	mapk12(2of3)
04659	Th17 cell differentiation	mapk12(3of3)
04659	Th17 cell differentiation	il21r(1of2)
04659	Th17 cell differentiation	il21r(2of2)
04659	Th17 cell differentiation	stat6
04659	Th17 cell differentiation	nfkb1
04659	Th17 cell differentiation	tgfbr1
04659	Th17 cell differentiation	rora(2of3)
04659	Th17 cell differentiation	rora(3of3)
04659	Th17 cell differentiation	il6r(1of3)
04659	Th17 cell differentiation	il6r(2of3)
04659	Th17 cell differentiation	il6r(3of3)
04659	Th17 cell differentiation	chuk(1of3)
04659	Th17 cell differentiation	chuk(2of3)
04659	Th17 cell differentiation	chuk(3of3)
04659	Th17 cell differentiation	cd247(1of2)
04659	Th17 cell differentiation	cd247(2of2)
04659	Th17 cell differentiation	fcer1g
04659	Th17 cell differentiation	rela
04659	Th17 cell differentiation	mapk3
04659	Th17 cell differentiation	il1b
04659	Th17 cell differentiation	mapk11
05202	Transcriptional misregulation in cancer	jmjd1c
05202	Transcriptional misregulation in cancer	aspscr1
05202	Transcriptional misregulation in cancer	mmp9
05202	Transcriptional misregulation in cancer	lyl1
05202	Transcriptional misregulation in cancer	maf(1of2)
05202	Transcriptional misregulation in cancer	maf(2of2)
05202	Transcriptional misregulation in cancer	cebpa
05202	Transcriptional misregulation in cancer	hoxc11(2of2)
05202	Transcriptional misregulation in cancer	pax7
05202	Transcriptional misregulation in cancer	pbx1(1of3)
05202	Transcriptional misregulation in cancer	pbx1(2of3)
05202	Transcriptional misregulation in cancer	pbx1(3of3)
05202	Transcriptional misregulation in cancer	fli1(1of2)
05202	Transcriptional misregulation in cancer	fli1(2of2)
05202	Transcriptional misregulation in cancer	etv4
05202	Transcriptional misregulation in cancer	met(1of2)
05202	Transcriptional misregulation in cancer	met(2of2)
05202	Transcriptional misregulation in cancer	kdm6a
05202	Transcriptional misregulation in cancer	igfbp3(1of2)
05202	Transcriptional misregulation in cancer	igfbp3(2of2)
05202	Transcriptional misregulation in cancer	hpgd(1of2)
05202	Transcriptional misregulation in cancer	hpgd(2of2)
05202	Transcriptional misregulation in cancer	gria3(1of2)
05202	Transcriptional misregulation in cancer	gria3(2of2)
05202	Transcriptional misregulation in cancer	supt3h
05202	Transcriptional misregulation in cancer	il1r2(1of2)
