kegg_id	pathway_name	gene_id
04360	Axon guidance	rasa1
04360	Axon guidance	epha8(1of2)
04360	Axon guidance	epha8(2of2)
04360	Axon guidance	plxnb3
04360	Axon guidance	camk2g
04360	Axon guidance	camk2b(1of2)
04360	Axon guidance	srgap1(1of2)
04360	Axon guidance	srgap1(2of2)
04360	Axon guidance	plxna2(1of2)
04360	Axon guidance	plxna2(2of2)
04360	Axon guidance	cxcr4(1of2)
04360	Axon guidance	cxcr4(2of2)
04360	Axon guidance	ptk2(1of2)
04360	Axon guidance	ptk2(2of2)
04360	Axon guidance	ptch1(1of2)
04360	Axon guidance	ptch1(2of2)
04360	Axon guidance	ntng1(1of2)
04360	Axon guidance	ntng1(2of2)
04360	Axon guidance	sema3e
04360	Axon guidance	nrp1(1of3)
04360	Axon guidance	nrp1(2of3)
04360	Axon guidance	nrp1(3of3)
04360	Axon guidance	slit3
04360	Axon guidance	dpysl2(1of3)
04360	Axon guidance	dpysl2(3of3)
04360	Axon guidance	rnd1(1of2)
04360	Axon guidance	rnd1(2of2)
04360	Axon guidance	plxnb1(1of3)
04360	Axon guidance	plxnb1(2of3)
04360	Axon guidance	plxnb1(3of3)
04360	Axon guidance	unc5b
04360	Axon guidance	sema5a
04360	Axon guidance	plxnb2(1of2)
04360	Axon guidance	plxnb2(2of2)
04360	Axon guidance	ntn1(1of4)
04360	Axon guidance	ntn1(2of4)
04360	Axon guidance	ntn1(3of4)
04360	Axon guidance	ntn1(4of4)
04360	Axon guidance	prkca(1of3)
04360	Axon guidance	prkca(2of3)
04360	Axon guidance	prkca(3of3)
04360	Axon guidance	ngef
04360	Axon guidance	pard6g
04360	Axon guidance	plcg2
04360	Axon guidance	cdk5
04360	Axon guidance	lrrc4(1of2)
04360	Axon guidance	lrrc4(2of2)
04360	Axon guidance	ssh3
04360	Axon guidance	pak2(1of2)
04360	Axon guidance	pak2(2of2)
04360	Axon guidance	limk1(1of2)
04360	Axon guidance	limk1(2of2)
04360	Axon guidance	sema4b(1of2)
04360	Axon guidance	sema4b(2of2)
04360	Axon guidance	sema4a
04360	Axon guidance	rock1(1of2)
04360	Axon guidance	rock1(2of2)
04360	Axon guidance	nck1
04360	Axon guidance	ephb2(1of2)
04360	Axon guidance	ephb2(2of2)
04360	Axon guidance	pik3r3(1of2)
04360	Axon guidance	pik3r3(2of2)
04360	Axon guidance	pard6a
04360	Axon guidance	gsk3b
04360	Axon guidance	bmp7(2of5)
04360	Axon guidance	bmp7(3of5)
04360	Axon guidance	bmp7(4of5)
04360	Axon guidance	bmp7(5of5)
04360	Axon guidance	smo
04360	Axon guidance	efnb2(1of3)
04360	Axon guidance	efnb2(2of3)
04360	Axon guidance	efnb2(3of3)
04360	Axon guidance	srgap3(1of4)
04360	Axon guidance	srgap3(2of4)
04360	Axon guidance	srgap3(3of4)
04360	Axon guidance	srgap3(4of4)
04360	Axon guidance	abl1
04360	Axon guidance	pdk1
04360	Axon guidance	epha4(1of3)
04360	Axon guidance	epha4(2of3)
04360	Axon guidance	epha4(3of3)
04360	Axon guidance	efna1(1of2)
04360	Axon guidance	efna1(2of2)
04360	Axon guidance	pard3(1of3)
04360	Axon guidance	pard3(2of3)
04360	Axon guidance	pard3(3of3)
04360	Axon guidance	sema6b(1of2)
04360	Axon guidance	sema6b(2of2)
04360	Axon guidance	ephb1(1of3)
04360	Axon guidance	ephb1(2of3)
04360	Axon guidance	ephb1(3of3)
04360	Axon guidance	pak1
04360	Axon guidance	sema3a(3of4)
04360	Axon guidance	ephb4(1of3)
04360	Axon guidance	ephb4(2of3)
04360	Axon guidance	ephb4(3of3)
04360	Axon guidance	epha5(1of2)
04360	Axon guidance	epha5(2of2)
04360	Axon guidance	pik3ca(1of3)
04360	Axon guidance	pik3ca(2of3)
04360	Axon guidance	pik3ca(3of3)
04360	Axon guidance	epha2(1of2)
04360	Axon guidance	epha2(2of2)
04360	Axon guidance	rac2(1of6)
04360	Axon guidance	rac2(2of6)
04360	Axon guidance	rac2(3of6)
04360	Axon guidance	rac2(4of6)
04360	Axon guidance	rac2(5of6)
04360	Axon guidance	rac2(6of6)
04360	Axon guidance	camk2a
04360	Axon guidance	ntng2(1of2)
04360	Axon guidance	ntng2(2of2)
04360	Axon guidance	ppp3ca(5of5)
04360	Axon guidance	sema4g(1of2)
04360	Axon guidance	sema4g(2of2)
04360	Axon guidance	slit2(1of2)
04360	Axon guidance	slit2(2of2)
04360	Axon guidance	kras
