kegg_id	gene_id
05030	gpsm1(3of3)
05030	grin1(1of2)
05030	grin1(2of2)
05030	prkaca(1of3)
05030	prkaca(2of3)
05030	prkaca(3of3)
05030	dlg4(1of2)
05030	dlg4(2of2)
05030	creb3l4
05030	prkacb
04614	agt
04614	thop1(1of3)
04614	thop1(2of3)
04614	thop1(3of3)
04614	lnpep
04614	agtr2
04614	ace2
04614	atp6ap2
04614	ace(1of6)
04614	ace(2of6)
04614	ace(3of6)
04614	ace(4of6)
04614	ace(5of6)
04614	ace(6of6)
04614	prcp
04614	cma1(1of3)
04614	cma1(2of3)
04614	cma1(3of3)
04614	ctsa(1of3)
04614	ctsa(2of3)
04614	ctsa(3of3)
04614	ctsg
04614	ren
04614	enpep
04614	anpep(1of7)
04614	anpep(2of7)
04614	anpep(3of7)
04614	anpep(4of7)
04614	anpep(5of7)
04614	anpep(6of7)
04614	anpep(7of7)
04614	prep
04614	agtr1a
04614	mme
00480	rrm1(1of2)
00480	rrm1(2of2)
00480	srm
00480	sms
00480	gpx7
00480	ggct(1of3)
00480	ggct(2of3)
00480	ggct(3of3)
00480	gpx6
00480	rrm2b
00480	gclm
00480	ggt5(1of3)
00480	ggt5(2of3)
00480	ggt5(3of3)
00480	odc1
00480	pgd
00480	gclc
00480	gsr
00480	gpx2
00480	idh2(1of2)
00480	idh2(2of2)
00480	nat8(1of3)
00480	nat8(2of3)
00480	nat8(3of3)
00480	mgst3(1of2)
00480	mgst3(2of2)
00480	anpep(1of7)
00480	anpep(2of7)
00480	anpep(3of7)
00480	anpep(4of7)
00480	anpep(5of7)
00480	anpep(6of7)
00480	anpep(7of7)
00480	gstk1
00480	ggt1(1of3)
00480	ggt1(2of3)
00480	ggt1(3of3)
00480	gstm3(1of2)
00480	gstm3(2of2)
00480	gpx8
00480	lap3
00480	oplah
00480	idh1
00480	ggt7(1of2)
00480	ggt7(2of2)
00480	gss
00480	g6pd(1of2)
00480	g6pd(2of2)
00480	gstt1
00480	gstt2b(1of2)
00480	gstt2b(2of2)
00480	rrm2(1of2)
00480	rrm2(2of2)
00480	txndc12
00480	gpx1(1of2)
00480	gpx1(2of2)
00480	gsta4(1of2)
00480	gsta4(2of2)
00480	gpx4(1of2)
00480	gpx4(2of2)
05034	calml4
05034	mapk1
05034	raf1
05034	crh
05034	hat1
05034	creb3l3(1of3)
05034	creb3l3(2of3)
05034	creb3l3(3of3)
05034	drd2(1of2)
05034	drd2(2of2)
05034	drd4(2of2)
05034	grin2b(1of3)
05034	grin2b(2of3)
05034	grin2b(3of3)
05034	hist1h2ah
05034	gnb2(2of2)
05034	gng4
05034	camk4
05034	gnb5(1of2)
05034	gnb5(2of2)
05034	sos2
05034	braf
05034	hdac8
05034	drd1(1of2)
05034	drd1(2of2)
05034	drd5(2of4)
05034	gng10
05034	hist1h2bk
05034	ppp1r1b(1of2)
05034	ppp1r1b(2of2)
05034	hras(1of2)
05034	hras(2of2)
05034	gnao1(1of3)
05034	gnao1(2of3)
05034	prkaca(1of3)
05034	prkaca(2of3)
05034	prkaca(3of3)
05034	th(1of2)
05034	th(2of2)
05034	ddc
05034	hist2h2ab(1of10)
05034	hist2h2ab(2of10)
05034	hist2h2ab(3of10)
05034	hist2h2ab(4of10)
05034	hist2h2ab(5of10)
05034	hist2h2ab(6of10)
05034	hist2h2ab(7of10)
05034	hist2h2ab(8of10)
05034	hist2h2ab(9of10)
05034	hist2h2ab(10of10)
05034	gng13(1of2)
05034	gng13(2of2)
05034	gng7(1of2)
05034	gng7(2of2)
05034	hdac2(1of2)
05034	hdac2(2of2)
05034	npy(1of2)
05034	npy(2of2)
05034	pyy(1of2)
05034	pyy(2of2)
05034	camkk1(1of2)
05034	slc29a1(1of2)
05034	slc29a1(2of2)
05034	camkk1(2of2)
05034	camkk2
05034	hdac10
05034	grin2c(1of2)
05034	grin2c(2of2)
05034	shc2
05034	hist2h2be(1of12)
05034	hist2h2be(2of12)
05034	hist2h2be(3of12)
05034	hist2h2be(4of12)
05034	hist2h2be(5of12)
05034	hist2h2be(6of12)
05034	hist2h2be(7of12)
05034	hist2h2be(8of12)
05034	hist2h2be(9of12)
05034	hist2h2be(10of12)
05034	hist2h2be(11of12)
05034	hist2h2be(12of12)
05034	map2k1
05034	hist2h3d(1of8)
05034	hist2h3d(2of8)
05034	hist2h3d(3of8)
05034	hist2h3d(4of8)
05034	hist2h3d(5of8)
05034	hist2h3d(6of8)
05034	hist2h3d(7of8)
05034	hist2h3d(8of8)
05034	h2afx
05034	hdac7(1of2)
05034	hdac7(2of2)
05034	gnb2(1of2)
05034	pkia
05034	atf2
05034	ppp1cb(1of2)
05034	ppp1cb(2of2)
05034	grin3a(1of2)
05034	grin3a(2of2)
05034	h2afz
05034	ppp1ca
05034	gng8
05034	atf4(1of2)
05034	atf4(2of2)
05034	shc1(1of2)
05034	hdac3
05034	creb3l1
05034	h3f3a(1of6)
05034	h3f3a(2of6)
05034	h3f3a(3of6)
05034	h3f3a(4of6)
05034	h3f3a(5of6)
05034	h3f3a(6of6)
05034	kras
05034	slc18a1
05034	hdac4(1of2)
05034	hdac4(2of2)
05034	atf6b
05034	h2afy
05034	hdac6(1of2)
05034	hdac6(2of2)
05034	gnb1(1of2)
05034	gnb1(2of2)
05034	maoa(1of3)
05034	maoa(2of3)
05034	maoa(3of3)
05034	creb3l2
05034	adora1(4of5)
05034	adora2a(1of2)
05034	adora2a(2of2)
05034	araf
05034	adcy5
05034	hist1h2bl(1of3)
05034	hist1h2bl(2of3)
05034	hist1h2bl(3of3)
05034	sos1
05034	creb5
05034	atf7(2of3)
05034	gnb3(1of2)
05034	gnb3(2of2)
05034	gng2
05034	creb3l4
05034	gng12
05034	pdyn
05034	h2afv
05034	ppp1cc(1of2)
05034	ppp1cc(2of2)
05034	slc18a2
05034	bdnf
05034	ntrk2(1of2)
05034	ntrk2(2of2)
05034	gngt2
05034	gngt1
05034	gng3
05034	calm3(1of4)
05034	calm3(2of4)
05034	calm3(3of4)
05034	calm3(4of4)
05034	gnai1(1of3)
05034	gnai1(2of3)
05034	gnai1(3of3)
05034	grin2a(1of2)
05034	grin2a(2of2)
05034	shc3
05034	gnai2(1of2)
05034	gnai2(2of2)
05034	hdac9
05034	hist1h4c(1of12)
05034	hist1h4c(2of12)
05034	hist1h4c(3of12)
05034	hist1h4c(4of12)
05034	hist1h4c(5of12)
05034	hist1h4c(6of12)
05034	hist1h4c(7of12)
05034	hist1h4c(8of12)
05034	hist1h4c(9of12)
05034	hist1h4c(10of12)
05034	hist1h4c(11of12)
05034	hist1h4c(12of12)
05034	h2afy2
05034	creb1(1of5)
05034	creb1(2of5)
05034	creb1(3of5)
05034	creb1(4of5)
05034	creb1(5of5)
05034	grb2
05034	hdac11
05034	mapk3
05034	shc1(2of2)
05034	gng5(1of3)
05034	gng5(2of3)
05034	gng5(3of3)
05034	slc6a3(2of3)
05034	gnas(1of2)
05034	gnas(2of2)
05034	grin2d(1of2)
05034	grin2d(2of2)
05034	grin1(1of2)
05034	grin1(2of2)
05034	hdac5
05034	adora2b
04668	atf2
04668	mapk1
04668	mmp9
04668	ccl25(2of3)
04668	ccl19
04668	ccl20(1of4)
04668	ccl20(2of4)
04668	ccl20(3of4)
04668	ccl20(4of4)
04668	pik3ca(1of3)
04668	pik3ca(2of3)
04668	pik3ca(3of3)
04668	atf4(1of2)
04668	atf4(2of2)
04668	cxcl5
04668	cxcl1(1of2)
04668	cxcl2
04668	tnfrsf1b
04668	tnfrsf1a(2of2)
04668	map3k5(1of2)
04668	map3k5(2of2)
04668	creb3l1
04668	map2k6(1of2)
04668	map2k6(2of2)
04668	dnm1l(1of3)
04668	dnm1l(2of3)
04668	dnm1l(3of3)
04668	dab2ip(1of3)
04668	dab2ip(2of3)
04668	dab2ip(3of3)
04668	creb3l3(1of3)
04668	creb3l3(2of3)
04668	creb3l3(3of3)
04668	tnfaip3
04668	pik3cb(1of2)
04668	pik3cb(2of2)
04668	lta(2of2)
04668	ripk4(1of2)
04668	mapk14(1of2)
04668	mapk14(2of2)
04668	atf6b
04668	edn1
04668	casp8(1of3)
04668	casp8(2of3)
04668	casp8(3of3)
04668	fos(1of4)
04668	fos(2of4)
04668	fos(3of4)
04668	fos(4of4)
04668	cebpb
04668	tab2
04668	nod2(1of2)
04668	nod2(2of2)
04668	casp7(2of2)
04668	casp3(1of2)
04668	casp3(2of2)
