id,b_D3d,b_D6d,b_D1m,b_NonD,GO
eef2(1of2),UP,UP,UP,NonDE,.
eef2(2of2),UP,UP,UP,NonDE,.
eef2k,UP,UP,UP,DN,.
eef2kmt(1of2),UP,UP,UP,NonDE,.
eef2kmt(2of2),UP,UP,UP,NonDE,.
eefsec,DN,DN,DN,NonDE,.
eepd1,NonDE,NonDE,NonDE,NonDE,.
efcab1,NonDE,NonDE,NonDE,NonDE,.
efcab10,NonDE,UP,NonDE,NonDE,.
efcab14,NonDE,NonDE,NonDE,NonDE,.
efcab2,NonDE,NonDE,NonDE,NonDE,.
efcab7,NonDE,NonDE,DN,NonDE,.
efemp1,UP,UP,NonDE,NonDE,.
efemp2,NonDE,NonDE,NonDE,DN,.
efhb,NonDE,NonDE,NonDE,NonDE,.
efhd2,NonDE,NonDE,NonDE,NonDE,.
efna1(1of2),NonDE,NonDE,NonDE,NonDE,.
efna1(2of2),UP,UP,NonDE,NonDE,.
efna2(1of2),DN,DN,DN,NonDE,.
efna2(2of2),NonDE,NonDE,NonDE,NonDE,.
efna3(2of2),NonDE,NonDE,NonDE,NonDE,.
efna4,UP,UP,UP,UP,.
efna5(1of4),NonDE,DN,DN,NonDE,.
efna5(4of4),NonDE,NonDE,NonDE,NonDE,.
efnb1,DN,DN,DN,NonDE,.
efnb2(1of3),NonDE,NonDE,NonDE,NonDE,.
efnb2(2of3),NonDE,NonDE,NonDE,NonDE,.
efnb2(3of3),DN,DN,DN,NonDE,.
efr3a,NonDE,NonDE,NonDE,NonDE,.
efr3b(1of2),NonDE,NonDE,DN,NonDE,.
efr3b(2of2),NonDE,NonDE,NonDE,NonDE,.
eftud1(1of2),NonDE,NonDE,NonDE,NonDE,.
eftud2(1of2),DN,DN,DN,NonDE,.
eftud2(2of2),DN,DN,DN,NonDE,.
egf,NonDE,NonDE,NonDE,NonDE,.
egfl6,NonDE,DN,DN,NonDE,.
egfl7,NonDE,NonDE,NonDE,NonDE,.
egfr(1of2),NonDE,NonDE,NonDE,NonDE,.
egfr(2of2),NonDE,NonDE,NonDE,NonDE,.
egln1,NonDE,NonDE,NonDE,NonDE,.
egln2,NonDE,NonDE,NonDE,NonDE,.
egln3,NonDE,NonDE,NonDE,NonDE,.
egr1(3of4),NonDE,NonDE,NonDE,NonDE,.
egr2(1of2),NonDE,NonDE,NonDE,NonDE,.
ehbp1(1of2),NonDE,NonDE,NonDE,NonDE,.
ehbp1(2of2),NonDE,NonDE,NonDE,NonDE,.
ehbp1l1,NonDE,NonDE,NonDE,NonDE,.
ehd1(1of2),NonDE,NonDE,NonDE,NonDE,.
ehd1(2of2),NonDE,NonDE,NonDE,NonDE,.
ehd2(1of4),UP,UP,NonDE,NonDE,.
ehd2(4of4),DN,DN,NonDE,NonDE,.
ehd4,NonDE,NonDE,NonDE,NonDE,.
ehhadh,DN,DN,NonDE,NonDE,.
ehmt1(1of2),UP,UP,UP,NonDE,.
ehmt1(2of2),NonDE,NonDE,NonDE,NonDE,.
ehmt2(1of2),DN,DN,DN,NonDE,.
ehmt2(2of2),UP,UP,UP,NonDE,.
ei24,UP,UP,UP,NonDE,.
eif1,UP,UP,UP,NonDE,.
eif1ad,NonDE,NonDE,NonDE,NonDE,.
eif1ax,NonDE,NonDE,NonDE,NonDE,.
eif2a,NonDE,NonDE,NonDE,NonDE,.
eif2ak1,NonDE,NonDE,NonDE,NonDE,.
eif2ak2(1of2),NonDE,NonDE,NonDE,NonDE,.
eif2ak2(2of2),UP,UP,UP,NonDE,.
eif2ak3(1of2),NonDE,NonDE,UP,NonDE,.
eif2ak3(2of2),NonDE,NonDE,NonDE,NonDE,.
eif2ak4,NonDE,NonDE,NonDE,NonDE,.
eif2b1,NonDE,NonDE,NonDE,NonDE,.
eif2b2,DN,DN,NonDE,NonDE,.
eif2b3,NonDE,NonDE,NonDE,NonDE,.
eif2b4,DN,DN,NonDE,NonDE,.
eif2b5,NonDE,NonDE,UP,NonDE,.
eif2d,NonDE,NonDE,NonDE,NonDE,.
eif2s1,UP,UP,UP,NonDE,.
eif2s2,NonDE,NonDE,NonDE,NonDE,.
eif2s3,UP,NonDE,UP,NonDE,.
eif3a(1of2),NonDE,NonDE,NonDE,NonDE,.
eif3a(2of2),NonDE,NonDE,NonDE,NonDE,.
eif3b,NonDE,NonDE,NonDE,NonDE,.
eif3c,NonDE,NonDE,NonDE,NonDE,.
eif3d,NonDE,NonDE,NonDE,NonDE,.
eif3e(1of2),UP,UP,UP,NonDE,.
eif3e(2of2),DN,DN,DN,NonDE,.
eif3f,UP,UP,UP,NonDE,.
eif3g,UP,UP,UP,NonDE,.
eif3h,UP,UP,UP,NonDE,.
eif3i(1of2),NonDE,UP,UP,NonDE,.
eif3i(2of2),UP,UP,UP,NonDE,.
eif3j,DN,DN,NonDE,NonDE,.
eif3k,UP,UP,UP,NonDE,.
eif3l,UP,UP,UP,NonDE,.
eif3m,UP,UP,UP,NonDE,.
eif4a1,NonDE,UP,UP,NonDE,.
eif4a2,UP,UP,UP,NonDE,.
eif4a3,NonDE,NonDE,NonDE,NonDE,.
eif4b,NonDE,NonDE,NonDE,NonDE,.
eif4e(1of3),NonDE,NonDE,NonDE,NonDE,.
eif4e(2of3),DN,DN,DN,NonDE,.
eif4e(3of3),DN,DN,DN,NonDE,.
eif4e2,NonDE,NonDE,NonDE,NonDE,.
eif4e3(1of2),NonDE,NonDE,NonDE,NonDE,.
eif4e3(2of2),DN,DN,NonDE,NonDE,.
eif4ebp1(1of2),UP,UP,UP,NonDE,.
eif4ebp1(2of2),NonDE,NonDE,NonDE,NonDE,.
eif4ebp2,UP,UP,UP,NonDE,.
eif4ebp3,UP,UP,NonDE,NonDE,.
eif4enif1,NonDE,NonDE,NonDE,NonDE,.
eif4g1(1of2),DN,DN,NonDE,NonDE,.
eif4g1(2of2),NonDE,NonDE,NonDE,NonDE,.
eif4g2(1of2),NonDE,NonDE,NonDE,NonDE,.
eif4g2(2of2),DN,NonDE,NonDE,NonDE,.
eif4g3,DN,DN,DN,NonDE,.
eif4h,NonDE,NonDE,NonDE,NonDE,.
eif5,NonDE,NonDE,NonDE,NonDE,.
eif5a(1of3),NonDE,NonDE,NonDE,NonDE,.
eif5a(2of3),NonDE,NonDE,NonDE,NonDE,.
eif5a(3of3),NonDE,UP,UP,NonDE,.
eif5b,NonDE,NonDE,NonDE,NonDE,.
eif6,NonDE,NonDE,NonDE,NonDE,.
elac1,DN,DN,DN,NonDE,.
elac2,NonDE,NonDE,NonDE,NonDE,.
elavl1(1of2),DN,DN,NonDE,NonDE,.
elavl1(2of2),NonDE,NonDE,NonDE,NonDE,.
elavl2,UP,UP,NonDE,UP,.
elavl3,NonDE,NonDE,DN,UP,.
elavl4,UP,UP,NonDE,UP,.
elf1,NonDE,NonDE,NonDE,NonDE,.
elf2(1of2),NonDE,NonDE,NonDE,NonDE,.
elf2(2of2),NonDE,NonDE,NonDE,NonDE,.
elf3,NonDE,NonDE,NonDE,NonDE,.
elf4,UP,NonDE,NonDE,NonDE,.
elk1,NonDE,NonDE,NonDE,NonDE,.
elk4(1of3),NonDE,NonDE,NonDE,NonDE,.
elk4(2of3),NonDE,NonDE,NonDE,NonDE,.
elk4(3of3),DN,DN,DN,NonDE,.
ell,NonDE,UP,UP,NonDE,.
ell2(1of2),DN,DN,DN,NonDE,.
ell2(2of2),NonDE,DN,NonDE,NonDE,.
ell3,UP,NonDE,NonDE,NonDE,.
elmo1(1of2),NonDE,DN,NonDE,NonDE,.
elmo2,NonDE,NonDE,NonDE,NonDE,.
elmo3,NonDE,NonDE,NonDE,NonDE,.
elmod1,UP,UP,NonDE,NonDE,.
elmod2,NonDE,NonDE,NonDE,NonDE,.
elmod3,NonDE,NonDE,NonDE,NonDE,.
elmsan1(1of2),UP,UP,UP,NonDE,.
elmsan1(2of2),NonDE,NonDE,NonDE,NonDE,.
elof1,NonDE,NonDE,NonDE,NonDE,.
elovl1(1of2),NonDE,NonDE,NonDE,UP,.
elovl1(2of2),NonDE,NonDE,NonDE,NonDE,.
elovl4(1of6),NonDE,NonDE,NonDE,NonDE,.
elovl4(2of6),DN,DN,DN,NonDE,.
elovl4(3of6),NonDE,NonDE,NonDE,NonDE,.
elovl5,DN,DN,DN,NonDE,.
elovl6(1of3),UP,UP,UP,UP,.
elovl6(2of3),NonDE,NonDE,NonDE,NonDE,.
elovl6(3of3),DN,DN,DN,NonDE,.
elovl7(1of2),UP,UP,NonDE,UP,.
elp2,NonDE,NonDE,NonDE,NonDE,.
elp3,NonDE,NonDE,NonDE,NonDE,.
elp4(1of2),NonDE,NonDE,NonDE,NonDE,.
elp4(2of2),NonDE,NonDE,NonDE,NonDE,.
elp5,NonDE,UP,NonDE,NonDE,.
elp6,NonDE,NonDE,NonDE,NonDE,.
emc1,NonDE,DN,NonDE,NonDE,.
emc10,NonDE,NonDE,NonDE,NonDE,.
emc2,NonDE,NonDE,NonDE,NonDE,.
emc3(1of2),NonDE,NonDE,NonDE,NonDE,.
emc3(2of2),NonDE,NonDE,UP,NonDE,.
emc4,NonDE,NonDE,NonDE,NonDE,.
emc6,DN,DN,NonDE,NonDE,.
emc7,UP,UP,UP,NonDE,.
emc8,NonDE,DN,NonDE,NonDE,.
emc9,NonDE,NonDE,NonDE,NonDE,.
emd,DN,DN,DN,NonDE,.
eme1(1of2),NonDE,NonDE,NonDE,NonDE,.
eme1(2of2),DN,DN,NonDE,NonDE,.
emg1,NonDE,NonDE,NonDE,NonDE,.
emid1,DN,DN,DN,NonDE,.
emilin1(1of2),NonDE,NonDE,NonDE,NonDE,.
emilin1(2of2),NonDE,NonDE,NonDE,NonDE,.
emilin2(1of2),UP,UP,UP,NonDE,.
emilin2(2of2),NonDE,NonDE,NonDE,NonDE,.
emilin3(1of2),DN,DN,DN,DN,.
emilin3(2of2),DN,DN,DN,DN,.
eml1(2of2),NonDE,UP,NonDE,NonDE,.
eml2(1of2),NonDE,NonDE,NonDE,NonDE,.
eml2(2of2),NonDE,NonDE,DN,NonDE,.
eml3,UP,UP,UP,NonDE,.
eml4(1of2),NonDE,NonDE,NonDE,NonDE,.
eml4(2of2),NonDE,NonDE,NonDE,NonDE,.
eml6,DN,DN,DN,NonDE,.
emp2(1of3),UP,NonDE,NonDE,NonDE,.
emp2(2of3),NonDE,NonDE,NonDE,NonDE,.
emp2(3of3),UP,UP,UP,NonDE,.
emp3(2of2),NonDE,NonDE,NonDE,NonDE,.
emsy,NonDE,NonDE,NonDE,NonDE,.
emx1(1of2),NonDE,NonDE,NonDE,NonDE,.
emx1(2of2),NonDE,NonDE,NonDE,NonDE,.
emx2,NonDE,DN,DN,NonDE,.
en1(1of2),NonDE,NonDE,NonDE,NonDE,.
en1(2of2),NonDE,NonDE,NonDE,NonDE,.
en2,NonDE,NonDE,DN,NonDE,.
enah,NonDE,NonDE,NonDE,NonDE,.
enc1(1of2),NonDE,NonDE,NonDE,NonDE,.
enc1(2of2),NonDE,NonDE,DN,NonDE,.
endod1(2of8),UP,UP,UP,NonDE,.
endod1(3of8),NonDE,NonDE,NonDE,NonDE,.
endod1(7of8),NonDE,NonDE,NonDE,NonDE,.
endog,DN,DN,DN,NonDE,.
endou(1of4),NonDE,NonDE,NonDE,NonDE,.
endou(2of4),NonDE,DN,NonDE,NonDE,.
endov,NonDE,NonDE,NonDE,NonDE,.
engase,NonDE,DN,NonDE,NonDE,.
enkd1,NonDE,UP,UP,NonDE,.
enkur,NonDE,NonDE,NonDE,NonDE,.
eno1,NonDE,NonDE,NonDE,NonDE,.
eno2(1of2),UP,UP,UP,NonDE,.
eno2(2of2),NonDE,NonDE,UP,NonDE,.
eno3,UP,UP,UP,UP,.
eno4(2of2),NonDE,NonDE,NonDE,NonDE,.
enoph1,NonDE,NonDE,NonDE,NonDE,.
enosf1,NonDE,NonDE,NonDE,NonDE,.
enox1(1of2),NonDE,NonDE,UP,NonDE,.
enox1(2of2),UP,UP,UP,NonDE,.
enpep,DN,DN,DN,NonDE,.
enpp1,NonDE,NonDE,DN,NonDE,.
enpp2(1of2),NonDE,NonDE,NonDE,NonDE,.
enpp2(2of2),UP,NonDE,NonDE,NonDE,.
enpp4,UP,UP,UP,NonDE,.
enpp5,NonDE,NonDE,NonDE,NonDE,.
enpp6(1of2),NonDE,NonDE,NonDE,NonDE,.
enpp6(2of2),UP,UP,UP,DN,.
enpp7(2of2),DN,NonDE,DN,NonDE,.
ensa,NonDE,NonDE,NonDE,NonDE,.
enthd2,NonDE,NonDE,NonDE,NonDE,.
entpd1,NonDE,NonDE,NonDE,NonDE,.
entpd4,NonDE,NonDE,NonDE,NonDE,.
entpd5(1of2),DN,DN,DN,NonDE,.
entpd6(1of2),DN,DN,NonDE,NonDE,.
entpd6(2of2),DN,DN,NonDE,NonDE,.
entpd7,DN,DN,DN,NonDE,.
eny2,DN,NonDE,NonDE,NonDE,.
eogt,DN,DN,DN,NonDE,.
ep400(1of2),NonDE,NonDE,NonDE,NonDE,.
ep400(2of2),NonDE,NonDE,NonDE,NonDE,.
epas1(1of2),NonDE,NonDE,NonDE,NonDE,.
epb41(1of2),NonDE,NonDE,UP,NonDE,.
epb41(2of2),NonDE,DN,DN,NonDE,.
epb41l1(2of2),UP,UP,UP,NonDE,.
epb41l2,NonDE,NonDE,NonDE,NonDE,.
epb41l3(2of4),NonDE,NonDE,NonDE,NonDE,.
epb41l4b,NonDE,NonDE,UP,NonDE,.
epb41l5,NonDE,NonDE,NonDE,NonDE,.
epc1(1of2),NonDE,NonDE,NonDE,NonDE,.
epc1(2of2),NonDE,NonDE,NonDE,NonDE,.
epdr1(2of4),UP,UP,UP,UP,.
epdr1(3of4),NonDE,NonDE,NonDE,NonDE,.
epdr1(4of4),NonDE,NonDE,DN,NonDE,.
epg5,UP,UP,NonDE,NonDE,.
epgn,NonDE,NonDE,NonDE,NonDE,.
epha2(1of2),NonDE,NonDE,DN,NonDE,.
epha2(2of2),NonDE,NonDE,NonDE,NonDE,.
epha3,NonDE,NonDE,NonDE,NonDE,.
epha4(1of3),NonDE,DN,DN,NonDE,.
epha4(2of3),NonDE,NonDE,DN,UP,.
epha4(3of3),NonDE,NonDE,DN,NonDE,.
epha5(2of2),UP,UP,NonDE,NonDE,.
epha6(2of5),NonDE,NonDE,NonDE,NonDE,.
epha7(2of2),NonDE,DN,NonDE,NonDE,.
epha8(2of2),NonDE,UP,NonDE,NonDE,.
ephb1(2of3),NonDE,NonDE,NonDE,NonDE,.
ephb1(3of3),NonDE,NonDE,NonDE,NonDE,.
ephb2(1of2),NonDE,DN,DN,NonDE,.
ephb3(1of2),NonDE,NonDE,DN,NonDE,.
ephb3(2of2),DN,DN,DN,NonDE,.
ephb4(1of3),NonDE,NonDE,NonDE,NonDE,.
ephb4(2of3),UP,UP,UP,NonDE,.
ephx1(3of4),NonDE,NonDE,NonDE,NonDE,.
ephx2,UP,UP,NonDE,NonDE,.
epm2a,UP,UP,UP,NonDE,.
epn1(1of3),NonDE,NonDE,NonDE,NonDE,.
epn1(2of3),NonDE,NonDE,NonDE,NonDE,.
epn1(3of3),NonDE,NonDE,NonDE,NonDE,.
epn2,NonDE,NonDE,NonDE,NonDE,.
epn3(1of2),NonDE,NonDE,NonDE,NonDE,.
epo,NonDE,NonDE,NonDE,UP,.
epor,UP,UP,UP,NonDE,.
eprs,DN,DN,DN,NonDE,.
eps15(1of2),NonDE,NonDE,NonDE,NonDE,.
eps15l1(1of2),NonDE,NonDE,NonDE,NonDE,.
eps15l1(2of2),NonDE,NonDE,NonDE,NonDE,.
eps8,NonDE,NonDE,NonDE,NonDE,.
eps8l1(1of2),UP,UP,UP,UP,.
eps8l2,UP,UP,NonDE,NonDE,.
eps8l3(1of2),NonDE,NonDE,NonDE,NonDE,.
ept1,DN,DN,DN,NonDE,.
epx,DN,DN,DN,NonDE,.
epyc,UP,UP,NonDE,NonDE,.
eral1,NonDE,NonDE,NonDE,NonDE,.
erap1,NonDE,NonDE,NonDE,NonDE,.
erbb2,NonDE,NonDE,NonDE,NonDE,.
erbb2ip,NonDE,NonDE,NonDE,NonDE,.
erbb3(1of2),NonDE,NonDE,DN,NonDE,.
erbb3(2of2),UP,UP,NonDE,UP,.
erbb4(1of4),NonDE,NonDE,NonDE,NonDE,.
erbb4(4of4),NonDE,NonDE,DN,NonDE,.
erc1(1of3),NonDE,NonDE,NonDE,NonDE,.
erc1(2of3),NonDE,NonDE,NonDE,NonDE,.
erc1(3of3),NonDE,NonDE,NonDE,NonDE,.
erc2(2of2),NonDE,NonDE,NonDE,DN,.
ercc1,NonDE,NonDE,NonDE,NonDE,.
ercc2,NonDE,UP,UP,NonDE,.
ercc3,NonDE,NonDE,NonDE,NonDE,.
ercc4,NonDE,NonDE,NonDE,NonDE,.
ercc5,NonDE,NonDE,NonDE,NonDE,.
ercc6,NonDE,NonDE,NonDE,NonDE,.
ercc6l,DN,DN,DN,NonDE,.
ercc6l2,NonDE,NonDE,NonDE,NonDE,.
ercc8,NonDE,NonDE,NonDE,NonDE,.
ereg,NonDE,NonDE,NonDE,NonDE,.
erf(1of4),NonDE,NonDE,NonDE,NonDE,.
erf(4of4),NonDE,NonDE,NonDE,NonDE,.
ergic1,DN,DN,DN,NonDE,.
ergic2(1of2),DN,NonDE,NonDE,NonDE,.
ergic2(2of2),NonDE,UP,UP,NonDE,.
ergic3,DN,DN,DN,NonDE,.
erh(1of2),NonDE,NonDE,NonDE,NonDE,.
erh(2of2),DN,NonDE,NonDE,NonDE,.
eri1,NonDE,NonDE,NonDE,NonDE,.
eri2,DN,DN,DN,NonDE,.
erich1,UP,UP,UP,NonDE,.
erlec1,NonDE,NonDE,NonDE,NonDE,.
erlin1,NonDE,NonDE,DN,NonDE,.
erlin2,NonDE,NonDE,DN,NonDE,.
ermp1,DN,NonDE,DN,NonDE,.
ern1(1of2),UP,UP,UP,DN,.
ern1(2of2),NonDE,NonDE,NonDE,NonDE,.
ero1a,DN,DN,NonDE,NonDE,.
ero1b,NonDE,NonDE,NonDE,NonDE,.
erp44,DN,NonDE,NonDE,NonDE,.
errfi1(2of2),NonDE,NonDE,NonDE,NonDE,.
es1(1of3),UP,UP,NonDE,UP,.
es1(2of3),NonDE,NonDE,NonDE,NonDE,.
esam(1of2),NonDE,NonDE,NonDE,NonDE,.
esco1,NonDE,NonDE,NonDE,NonDE,.
esco2,DN,DN,DN,NonDE,.
esd,DN,DN,DN,NonDE,.
esf1,NonDE,NonDE,NonDE,NonDE,.
esm1,UP,UP,NonDE,NonDE,.
espl1,DN,DN,DN,NonDE,.
espnl(2of3),NonDE,NonDE,NonDE,NonDE,.
esr2(1of2),NonDE,NonDE,NonDE,NonDE,.
esr2(2of2),NonDE,NonDE,NonDE,NonDE,.
esrp1(1of2),NonDE,NonDE,DN,NonDE,.
esrp1(2of2),NonDE,NonDE,NonDE,NonDE,.
esrrg(1of4),NonDE,NonDE,NonDE,NonDE,.
esrrg(2of4),NonDE,NonDE,NonDE,NonDE,.
esrrg(3of4),NonDE,NonDE,NonDE,NonDE,.
esyt1(1of2),NonDE,NonDE,NonDE,NonDE,.
esyt1(2of2),NonDE,DN,DN,UP,.
esyt2(1of2),UP,UP,UP,NonDE,.
esyt2(2of2),NonDE,NonDE,NonDE,NonDE,.
esyt3,UP,UP,UP,NonDE,.
etaa1(1of2),NonDE,NonDE,NonDE,NonDE,.
etaa1(2of2),DN,DN,DN,NonDE,.
etf1,NonDE,NonDE,NonDE,NonDE,.
etfa,NonDE,NonDE,NonDE,NonDE,.
etfb,NonDE,DN,DN,NonDE,.
etfdh,NonDE,NonDE,NonDE,NonDE,.
ethe1(1of2),NonDE,NonDE,NonDE,NonDE,.
etl4(1of2),UP,UP,NonDE,UP,.
etl4(2of2),NonDE,NonDE,NonDE,NonDE,.
etnk1(1of3),DN,DN,DN,NonDE,.
etnk1(2of3),UP,UP,UP,NonDE,.
ets1(2of3),DN,DN,DN,NonDE,.
ets1(3of3),NonDE,DN,DN,NonDE,.
etv1,NonDE,NonDE,NonDE,NonDE,.
etv4,NonDE,NonDE,DN,NonDE,.
etv5(1of2),NonDE,NonDE,NonDE,NonDE,.
etv5(2of2),NonDE,NonDE,DN,NonDE,.
etv6(1of2),UP,UP,NonDE,NonDE,.
etv6(2of2),UP,UP,NonDE,NonDE,.
eva1b,NonDE,DN,DN,NonDE,.
eva1c(1of4),UP,UP,UP,DN,.
eva1c(4of4),NonDE,NonDE,NonDE,NonDE,.
evc,NonDE,NonDE,NonDE,NonDE,.
evc2,NonDE,NonDE,NonDE,NonDE,.
evi5,NonDE,NonDE,UP,NonDE,.
evi5l,DN,NonDE,NonDE,NonDE,.
evl(1of4),UP,UP,UP,NonDE,.
evl(2of4),NonDE,NonDE,NonDE,NonDE,.
evl(3of4),UP,UP,UP,NonDE,.
evl(4of4),NonDE,NonDE,NonDE,NonDE,.
evpl(1of2),UP,UP,UP,UP,.
evpl(2of2),UP,NonDE,NonDE,UP,.
evx1(1of2),NonDE,NonDE,NonDE,NonDE,.
evx2,NonDE,NonDE,NonDE,NonDE,.
ewsr1,DN,DN,DN,NonDE,.
exd2,NonDE,NonDE,NonDE,NonDE,.
exo1,DN,DN,DN,NonDE,.
exoc1(1of2),NonDE,NonDE,NonDE,NonDE,.
exoc2,NonDE,NonDE,NonDE,NonDE,.
exoc3(1of2),NonDE,NonDE,NonDE,NonDE,.
exoc3(2of2),UP,UP,NonDE,NonDE,.
exoc3l2(1of2),NonDE,NonDE,NonDE,NonDE,.
exoc3l2(2of2),UP,UP,UP,UP,.
exoc3l4,NonDE,NonDE,NonDE,NonDE,.
exoc4,NonDE,NonDE,NonDE,NonDE,.
exoc5,NonDE,NonDE,NonDE,NonDE,.
exoc6b,NonDE,NonDE,UP,NonDE,.
exoc7,NonDE,NonDE,NonDE,NonDE,.
exoc8,NonDE,NonDE,NonDE,NonDE,.
exosc1,UP,NonDE,NonDE,NonDE,.
exosc10,NonDE,NonDE,NonDE,NonDE,.
exosc2,NonDE,NonDE,NonDE,NonDE,.
exosc3,DN,DN,DN,NonDE,.
exosc4,NonDE,NonDE,NonDE,NonDE,.
exosc5,DN,NonDE,NonDE,NonDE,.
exosc6,DN,DN,DN,NonDE,.
exosc7,NonDE,NonDE,NonDE,NonDE,.
exosc8,NonDE,NonDE,NonDE,NonDE,.
exosc9,NonDE,NonDE,NonDE,NonDE,.
ext1(1of4),UP,UP,UP,NonDE,.
ext1(2of4),DN,DN,DN,NonDE,.
ext1(4of4),NonDE,NonDE,NonDE,NonDE,.
ext2,DN,DN,DN,NonDE,.
extl2,NonDE,NonDE,NonDE,NonDE,.
extl3,DN,DN,NonDE,NonDE,.
eya1,DN,DN,DN,NonDE,.
eya2,NonDE,DN,DN,NonDE,.
eya3,NonDE,NonDE,NonDE,NonDE,.
eya4,NonDE,NonDE,NonDE,NonDE,.
eys(1of2),NonDE,NonDE,NonDE,NonDE,.
ezh1,UP,UP,UP,NonDE,.
ezh2,DN,DN,DN,NonDE,.
ezr(1of2),UP,UP,NonDE,UP,.
ezr(2of2),UP,UP,UP,NonDE,.
f10(1of3),UP,UP,UP,NonDE,.
f10(2of3),UP,UP,UP,NonDE,.
f10(3of3),UP,UP,NonDE,NonDE,.
f11r(1of3),NonDE,NonDE,NonDE,NonDE,.
f11r(2of3),NonDE,NonDE,NonDE,NonDE,.
f13a1(1of2),UP,UP,NonDE,NonDE,.
f2,NonDE,DN,DN,NonDE,.
f2r(1of2),NonDE,NonDE,NonDE,NonDE,.
f2r(2of2),UP,UP,UP,NonDE,.
f2rl1(1of3),NonDE,NonDE,NonDE,NonDE,.
f2rl1(2of3),NonDE,NonDE,NonDE,NonDE,.
f3(1of2),NonDE,NonDE,NonDE,NonDE,.
f3(2of2),NonDE,UP,UP,NonDE,.
f8,DN,DN,DN,NonDE,.
f8a3,NonDE,NonDE,NonDE,NonDE,.
fa2h,UP,UP,UP,UP,.
faah,DN,DN,DN,NonDE,.
faah2,UP,NonDE,NonDE,UP,.
faap100,DN,DN,DN,NonDE,.
faap24,DN,DN,DN,NonDE,.
fabp1,NonDE,NonDE,NonDE,NonDE,.
fabp3(1of2),UP,UP,UP,UP,.
fabp3(2of2),NonDE,NonDE,NonDE,NonDE,.
fabp6(1of4),DN,DN,DN,NonDE,.
fabp6(2of4),NonDE,NonDE,NonDE,NonDE,.
fabp7(1of2),NonDE,NonDE,DN,NonDE,.
fabp7(2of2),NonDE,NonDE,DN,NonDE,.
fadd(1of2),DN,DN,DN,NonDE,.
fadd(2of2),NonDE,NonDE,NonDE,NonDE,.
fads2(1of4),DN,DN,DN,NonDE,.
faf1,NonDE,NonDE,NonDE,NonDE,.
faf2,NonDE,NonDE,NonDE,NonDE,.
fah,UP,UP,UP,NonDE,.
fahd1,NonDE,NonDE,NonDE,NonDE,.
fahd2a,NonDE,NonDE,NonDE,NonDE,.
faim(1of2),NonDE,NonDE,NonDE,NonDE,.
faim(2of2),NonDE,UP,UP,NonDE,.
fam101a,NonDE,NonDE,NonDE,NonDE,.
fam101b,NonDE,NonDE,NonDE,NonDE,.
fam102a(1of2),NonDE,NonDE,NonDE,NonDE,.
fam102a(2of2),UP,UP,UP,NonDE,.
fam102b(1of2),NonDE,NonDE,NonDE,NonDE,.
fam102b(2of2),NonDE,NonDE,NonDE,NonDE,.
fam104a,NonDE,UP,NonDE,NonDE,.
fam107b(1of3),UP,UP,NonDE,NonDE,.
fam107b(3of3),UP,UP,NonDE,NonDE,.
fam109a(1of5),NonDE,NonDE,NonDE,NonDE,.
fam109a(2of5),NonDE,NonDE,NonDE,NonDE,.
fam109a(3of5),NonDE,NonDE,NonDE,NonDE,.
fam110a,UP,UP,NonDE,NonDE,.
fam110b(1of2),NonDE,NonDE,NonDE,NonDE,.
fam110b(2of2),NonDE,DN,DN,NonDE,.
fam110c(1of2),NonDE,NonDE,NonDE,DN,.
fam110c(2of2),NonDE,NonDE,NonDE,NonDE,.
fam114a1,NonDE,NonDE,NonDE,NonDE,.
fam114a2,UP,UP,UP,NonDE,.
fam117a(1of2),NonDE,NonDE,NonDE,NonDE,.
fam117a(2of2),UP,UP,UP,NonDE,.
fam118b,NonDE,NonDE,NonDE,NonDE,.
fam120b,NonDE,NonDE,NonDE,NonDE,.
fam120c,NonDE,NonDE,NonDE,NonDE,.
fam122a(1of2),NonDE,NonDE,NonDE,NonDE,.
fam122a(2of2),NonDE,NonDE,NonDE,NonDE,.
fam124a,NonDE,NonDE,NonDE,NonDE,.
fam124b,NonDE,NonDE,NonDE,NonDE,.
fam126a,NonDE,NonDE,NonDE,NonDE,.
fam126b,NonDE,NonDE,NonDE,NonDE,.
fam129a(1of3),UP,UP,NonDE,UP,.
fam129a(2of3),UP,UP,UP,NonDE,.
fam129a(3of3),NonDE,NonDE,NonDE,DN,.
fam129b,UP,UP,UP,NonDE,.
fam131a(1of2),NonDE,NonDE,DN,NonDE,.
fam131b(2of2),NonDE,UP,NonDE,NonDE,.
fam132a,NonDE,NonDE,NonDE,NonDE,.
fam133b,DN,DN,DN,NonDE,.
fam134a,UP,UP,UP,NonDE,.
fam134b,UP,UP,UP,NonDE,.
fam134c,NonDE,NonDE,NonDE,NonDE,.
fam135a,NonDE,NonDE,NonDE,NonDE,.
fam136a,NonDE,NonDE,NonDE,NonDE,.
fam13a(1of3),UP,UP,UP,NonDE,.
fam13a(3of3),UP,UP,UP,NonDE,.
fam13b,NonDE,NonDE,NonDE,NonDE,.
fam149b1,NonDE,NonDE,NonDE,NonDE,.
fam150b,NonDE,NonDE,NonDE,NonDE,.
fam151b,NonDE,UP,UP,NonDE,.
fam155a(2of2),DN,DN,DN,NonDE,.
fam160a1(1of2),UP,UP,UP,NonDE,.
fam160a1(2of2),NonDE,NonDE,NonDE,DN,.
