id,b_D3d,b_D6d,b_D1m,b_NonD,GO
acbd3,DN,DN,NonDE,NonDE,.
acbd4,NonDE,NonDE,NonDE,NonDE,.
acbd5(1of2),UP,UP,UP,NonDE,.
acbd5(2of2),NonDE,NonDE,NonDE,NonDE,.
acbd6,NonDE,NonDE,NonDE,NonDE,.
acbd7,NonDE,NonDE,DN,UP,.
accs,NonDE,NonDE,DN,NonDE,.
ace(1of6),NonDE,NonDE,DN,NonDE,.
ace(5of6),UP,UP,DN,DN,.
ace(6of6),UP,NonDE,NonDE,NonDE,.
ace2,NonDE,NonDE,NonDE,NonDE,.
acer2,NonDE,NonDE,NonDE,NonDE,.
acer3,NonDE,UP,UP,NonDE,.
ache(1of2),NonDE,NonDE,NonDE,NonDE,.
acin1(1of2),NonDE,NonDE,NonDE,NonDE,.
acin1(2of2),NonDE,NonDE,NonDE,NonDE,.
ackr3(2of3),NonDE,NonDE,DN,NonDE,.
ackr4(1of2),UP,NonDE,NonDE,NonDE,.
acly(1of2),DN,DN,DN,NonDE,.
acly(2of2),UP,UP,NonDE,NonDE,.
acmsd,NonDE,NonDE,NonDE,NonDE,.
aco1,NonDE,NonDE,NonDE,NonDE,.
aco2(1of2),DN,DN,DN,NonDE,.
aco2(2of2),NonDE,NonDE,NonDE,NonDE,.
acot1(1of2),NonDE,NonDE,UP,NonDE,.
acot1(2of2),NonDE,NonDE,NonDE,NonDE,.
acot11(1of2),UP,UP,UP,NonDE,.
acot11(2of2),UP,UP,NonDE,NonDE,.
acot13,NonDE,NonDE,UP,NonDE,.
acot7,NonDE,NonDE,NonDE,NonDE,.
acot8,NonDE,NonDE,NonDE,NonDE,.
acot9,UP,UP,UP,NonDE,.
acox1,NonDE,NonDE,NonDE,NonDE,.
acox3,DN,DN,DN,NonDE,.
acp1,DN,DN,DN,NonDE,.
acp2(2of2),NonDE,NonDE,DN,NonDE,.
acp5,NonDE,UP,NonDE,NonDE,.
acrc,DN,DN,DN,NonDE,.
acsbg1,NonDE,NonDE,DN,NonDE,.
acsf2(1of2),UP,UP,UP,NonDE,.
acsf3,NonDE,NonDE,NonDE,NonDE,.
acsl1,NonDE,NonDE,NonDE,NonDE,.
acsl3(1of2),DN,DN,DN,NonDE,.
acsl3(2of2),NonDE,NonDE,NonDE,NonDE,.
acsl4,NonDE,NonDE,NonDE,NonDE,.
acsl6(1of2),DN,DN,DN,NonDE,.
acss1,NonDE,NonDE,NonDE,NonDE,.
acss2(2of2),NonDE,DN,NonDE,NonDE,.
acss3,NonDE,NonDE,UP,NonDE,.
acta2,UP,UP,UP,NonDE,.
actb,UP,UP,NonDE,NonDE,.
actc1(1of5),NonDE,NonDE,UP,NonDE,.
actc1(2of5),UP,UP,UP,NonDE,.
actc1(3of5),UP,NonDE,DN,NonDE,.
actc1(4of5),UP,UP,NonDE,NonDE,.
actc1(5of5),NonDE,NonDE,NonDE,NonDE,.
actg1(1of2),NonDE,NonDE,NonDE,NonDE,.
actg1(2of2),NonDE,NonDE,NonDE,NonDE,.
actl6a,DN,DN,DN,NonDE,.
actn1,NonDE,NonDE,NonDE,NonDE,.
actn2,NonDE,NonDE,NonDE,NonDE,.
actn3,NonDE,NonDE,NonDE,NonDE,.
actn4,NonDE,NonDE,NonDE,NonDE,.
actr10,NonDE,NonDE,NonDE,NonDE,.
actr1b,DN,DN,NonDE,NonDE,.
actr2(1of2),NonDE,NonDE,NonDE,NonDE,.
actr2(2of2),UP,UP,NonDE,NonDE,.
actr3(1of3),DN,DN,NonDE,NonDE,.
actr3(2of3),DN,DN,DN,NonDE,.
actr3(3of3),NonDE,DN,NonDE,NonDE,.
actr5,DN,DN,NonDE,NonDE,.
actr6,DN,DN,NonDE,NonDE,.
actr8,DN,NonDE,DN,NonDE,.
acvr1(1of3),NonDE,NonDE,NonDE,NonDE,.
acvr1(2of3),UP,UP,UP,NonDE,.
acvr1(3of3),NonDE,NonDE,NonDE,NonDE,.
acvr1b,NonDE,NonDE,NonDE,NonDE,.
acvr1c,NonDE,NonDE,NonDE,NonDE,.
acvr2a,NonDE,NonDE,NonDE,NonDE,.
acvr2b(1of2),NonDE,NonDE,NonDE,NonDE,.
acvr2b(2of2),UP,NonDE,NonDE,UP,.
acy1,DN,DN,DN,NonDE,.
acyp1,DN,NonDE,NonDE,NonDE,.
adad1,NonDE,NonDE,NonDE,NonDE,.
adad2,DN,DN,NonDE,NonDE,.
adal(1of3),NonDE,NonDE,NonDE,NonDE,.
adal(2of3),NonDE,NonDE,NonDE,NonDE,.
adam10(1of3),NonDE,NonDE,NonDE,NonDE,.
adam10(2of3),NonDE,NonDE,NonDE,NonDE,.
adam10(3of3),NonDE,NonDE,NonDE,NonDE,.
adam11(2of2),NonDE,NonDE,NonDE,NonDE,.
adam12(1of3),DN,DN,DN,NonDE,.
adam12(2of3),NonDE,NonDE,DN,NonDE,.
adam12(3of3),NonDE,NonDE,UP,NonDE,.
adam17(1of2),NonDE,NonDE,NonDE,NonDE,.
adam17(2of2),NonDE,NonDE,DN,NonDE,.
adam19,DN,DN,DN,NonDE,.
adam22,UP,NonDE,NonDE,NonDE,.
adam28,NonDE,NonDE,NonDE,NonDE,.
adam8(1of2),NonDE,DN,DN,DN,.
adam8(2of2),NonDE,UP,NonDE,NonDE,.
adam9(1of2),NonDE,NonDE,NonDE,NonDE,.
adam9(2of2),NonDE,NonDE,DN,NonDE,.
adamts1,NonDE,DN,DN,NonDE,.
adamts10,DN,DN,DN,NonDE,.
adamts12,NonDE,DN,DN,NonDE,.
adamts15(1of2),NonDE,NonDE,NonDE,NonDE,.
adamts15(2of2),NonDE,NonDE,NonDE,NonDE,.
adamts16,NonDE,NonDE,NonDE,NonDE,.
adamts18,NonDE,DN,DN,NonDE,.
adamts20,NonDE,NonDE,NonDE,NonDE,.
adamts3,DN,DN,DN,NonDE,.
adamts5,NonDE,NonDE,NonDE,NonDE,.
adamts6,NonDE,NonDE,NonDE,NonDE,.
adamts7,NonDE,NonDE,NonDE,NonDE,.
