Condition,FDR,DE,,,,,,
D3d,6.60E-18,-1.070404597,,,,,,
D3d,4.28E-16,1.467055244,,,,,,
D3d,0.856753397,0.100472158,,,,,,
D3d,0.001971325,-0.4046776,,,,,,
D3d,1.52E-44,-1.923591267,,,,,,
D3d,0.303304772,0.536911203,,,,,,
D3d,4.45E-07,0.747565771,,,,,,
D3d,0.899431156,-0.027316782,,,,,,
D3d,1.86E-16,1.249156617,,,,,,
D3d,1.78E-09,1.355157653,,,,,,
D3d,0.436938316,-0.245671672,,,,,,
D3d,0.057900844,-2.861546955,,,,,,
D3d,0.31610273,-0.271793147,,,,,,
D3d,1.51E-16,1.144238865,,,,,,
D3d,0.362416363,0.157299789,,,,,,
D3d,8.01E-21,-1.922226965,,,,,,
D3d,1.05E-06,-4.417244442,,,,,,
D3d,0.016504285,-0.737100142,,,,,,
D3d,0.02126781,1.161053812,,,,,,
D3d,1.05E-08,-3.724437859,,,,,,
D3d,8.18E-09,-0.72177297,,,,,,
D3d,1.60E-48,1.87100823,,,,,,
D3d,0.005640484,-0.605950424,,,,,,
D3d,0.137957079,-0.199326261,,,,,,
D3d,1.08E-42,-2.135514358,,,,,,
D3d,0.195322487,-0.455536463,,,,,,
D3d,0.212350031,-0.166425548,,,,,,
D3d,1.14E-21,-2.214299555,,,,,,
D3d,1.03E-07,0.827204615,,,,,,
D3d,3.95E-06,-0.623544163,,,,,,
D3d,8.53E-05,0.582050254,,,,,,
D3d,1.35E-24,2.734644449,,,,,,
D3d,3.27E-72,2.396128717,,,,,,
D3d,5.24E-08,0.883550585,,,,,,
D3d,7.70E-18,2.192974253,,,,,,
D3d,5.61E-07,1.381874097,,,,,,
D3d,5.65E-07,1.285755617,,,,,,
D3d,0.248505066,0.278761388,,,,,,
D3d,0.012576587,0.622418135,,,,,,
D3d,0.000196829,-0.5899594,,,,,,
D3d,3.37E-42,-2.758177611,,,,,,
D3d,1.97E-10,0.770954334,,,,,,
D3d,0.926892365,-0.020971287,,,,,,
D3d,0.050339085,0.704504695,,,,,,
D3d,0.157381774,-0.188489157,,,,,,
D3d,0.613079278,0.077697618,,,,,,
D3d,6.16E-24,-1.258810987,,,,,,
D3d,0.005601954,-0.348634861,,,,,,
D3d,1.03E-24,1.314042581,,,,,,
D3d,3.36E-13,-1.496993447,,,,,,
D3d,1.15E-19,-1.372591524,,,,,,
D3d,0.074857822,-0.559733973,,,,,,
D3d,1.26E-15,-1.766204577,,,,,,
D3d,4.33E-11,-1.273009396,,,,,,
D3d,2.12E-13,-1.317394778,,,,,,
D3d,0.333561364,0.192585498,,,,,,
D3d,3.41E-34,1.459059435,,,,,,
D3d,0.00041188,0.487293665,,,,,,
D3d,0.278363504,0.156276006,,,,,,
D3d,0.99684579,0.001804036,,,,,,
D3d,0.076459285,-0.279315283,,,,,,
D3d,1.86E-05,0.528631598,,,,,,
D3d,3.02E-06,1.830558267,,,,,,
D3d,8.37E-30,-4.270648741,,,,,,
D3d,2.19E-05,-2.802874443,,,,,,
D3d,0.036797408,-0.607140034,,,,,,
D3d,1.33E-05,-1.256684638,,,,,,
D3d,0.194188449,0.355142437,,,,,,
D3d,0.464895547,0.351415711,,,,,,
D3d,0.045426029,0.568769887,,,,,,
D3d,6.44E-07,-0.631272542,,,,,,
D3d,0.013438159,0.395058143,,,,,,
D3d,0.276521855,0.351878769,,,,,,
D3d,0.005882421,-1.157100111,,,,,,
D3d,0.321363725,-0.470754359,,,,,,
D3d,0.026921917,0.698789204,,,,,,
D3d,0.001045702,0.434504557,,,,,,
D3d,0.787898164,0.089258076,,,,,,
D3d,3.17E-06,-1.490875374,,,,,,
D3d,1.93E-12,1.072968508,,,,,,
D3d,0.015409276,0.670129281,,,,,,
D3d,0.24429309,-0.488740413,,,,,,
D3d,1.95E-06,0.766608322,,,,,,
D3d,1.79E-05,-0.678525609,,,,,,
D3d,0.996326461,-0.002968771,,,,,,
D3d,0.014969071,-0.869539734,,,,,,
D3d,7.92E-05,-1.314203657,,,,,,
D3d,0.384712319,-0.593405708,,,,,,
D3d,0.227566293,0.546317421,,,,,,
D3d,0.001456954,0.676043449,,,,,,
D3d,0.001535071,0.407275748,,,,,,
D3d,0.719153608,-0.191768246,,,,,,
D3d,0.066568773,-0.325600964,,,,,,
D3d,2.17E-11,-1.30224772,,,,,,
D3d,0.047596868,0.842184822,,,,,,
D3d,0.627868784,-0.091007795,,,,,,
D3d,7.69E-05,0.516379753,,,,,,
D3d,0.00094326,0.933175097,,,,,,
D3d,1.79E-06,-1.798325545,,,,,,
D3d,0.657530839,-0.116339069,,,,,,
D3d,6.77E-09,1.159631874,,,,,,
D3d,0.702573008,0.110939343,,,,,,
D3d,0.364163998,-1.646831472,,,,,,
D3d,0.030903795,-0.525422991,,,,,,
D3d,4.57E-11,-1.284629106,,,,,,
D3d,1.20E-07,-2.331820936,,,,,,
D3d,6.75E-08,-1.501250336,,,,,,
D3d,1.94E-05,-1.408070212,,,,,,
D3d,1.94E-05,-2.831982087,,,,,,
D3d,5.11E-06,-1.47927983,,,,,,
D3d,0.177937262,0.198023443,,,,,,
D3d,0.219845513,0.198263377,,,,,,
D3d,3.27E-22,1.553696588,,,,,,
D3d,0.407072365,-0.135968257,,,,,,
D3d,0.705143052,0.120472545,,,,,,
D3d,0.015846986,-0.893347994,,,,,,
D3d,0.006148521,-0.560761192,,,,,,
D3d,0.165263504,0.497976712,,,,,,
D3d,4.52E-12,-2.315327367,,,,,,
D3d,0.370959519,-0.510296151,,,,,,
D3d,5.89E-07,-1.586926145,,,,,,
D3d,0.019813202,-0.440158278,,,,,,
D3d,0.000146837,1.43557256,,,,,,
D3d,0.005532287,-0.834312435,,,,,,
D3d,0.031539734,0.278576413,,,,,,
D3d,0.000441692,0.459665484,,,,,,
D3d,0.751887402,-0.128592521,,,,,,
D3d,0.007904585,0.33463485,,,,,,
D3d,7.60E-23,2.246909044,,,,,,
D3d,0.002438702,0.384684003,,,,,,
D3d,0.005743164,0.34522551,,,,,,
D3d,3.82E-09,0.870882835,,,,,,
D3d,0.093566655,0.229829018,,,,,,
D3d,0.461303126,0.660425155,,,,,,
