"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"pcsk5(1of5)",0.000388693648857819,0.00911276858794215,0.000591039100830257,0.0332791612646903,0.0240001486570139
"tnfaip6",0.00662960356056388,0.0021010275174189,0.00272003317780994,0.000126014883574368,0.00117948756666884
"klhdc10(2of2)",0.00818843086180126,5.08289400646913e-05,0.000274100257310355,0.000606848650971055,1.45979123707859e-05
"uros",0.00384024910434007,0.015817394307035,0.000298105978581953,0.00610602791644079,0.00445925255927829
"cst1",0.00207807178344473,0.00714037014908137,0.0152091690708424,3.32543582376485e-05,0.00576788104777627
"xpo6",0.00800325417107318,0.000317330157960991,0.000172323313159361,0.000716638959818812,0.00295254636929321
"gpr37l1",0.00485247722528959,0.00027702234185465,0.000263770612640125,0.0013179207017282,0.000358539298324851
"rrm2(1of2)",0.000346264692475577,0.00932281557313427,0.0256874402563954,0.00497599390833664,0.0055127747733181
"cobll1(2of2)",0.000201511209230869,0.0252189596339339,0.00364670373962451,0.000356202663383669,0.0176065356063648
"bag4",0.00458883127270035,0.00673168035831825,0.00252583326466104,0.00123848903540583,0.0123278240417871
"prpf19",0.00824187407818939,0.000183198918998885,4.48686650669311e-06,0.000250389586857187,8.93671977956371e-09
"col19a1",0.00120360003124752,0.0152694710362332,0.025397020985303,0.000365598192925855,0.000152194495785874
"nek2",0.00817512909123215,0.00013676560326559,0.000262278621938174,0.000375857647108014,4.64554171113252e-05
"kif16b(1of2)",0.000448837115717323,0.00259770455446766,0.0001392830417406,0.000686502831876275,0.0050541317290211
"f2rl2(1of3)",0.000142928850366829,0.00688645370968263,0.00633128012717582,0.00346218189858921,0.00320876814073291
"prex1",0.00617475308076543,0.00880709160185166,0.000470693535932918,0.000509855016102356,0.000546706126847809
"grpr(2of2)",0,0,0,0,0
"cntnap5",0.0026933346766693,0.00535178603755006,0.026161982667202,6.39079713689361e-08,3.57006932219958e-05
"sox11(1of2)",0.00710312980214411,0.00599256308510465,1.95424473500669e-05,0.000307853970406982,0.000164794810869062
"crygs",0.00193407429321768,0.000557725315607771,0.0147992027574377,0.00183720268485533,1.76454232501449e-05
"fam109a(5of5)",0.000379003366526719,0.000719248269649404,0.00551201505438302,0.00166024978906815,0.00515338089489431
"wbp11",0.00500800019046555,0.0141743660000719,0.000192843738853504,0.00101839270127246,0.000406090600788969
"daam1",0.00824089617020789,3.58394760542289e-05,3.01000148098299e-07,4.75716165142375e-05,0.000472588042722116
"dync1li1",0.00523876636975733,0.010542514835591,0.000302996978602541,0.000642697269632993,0.00737692699299575
"anks1b",0.00232959535514855,0.00556482883913087,0.00546801020001343,0.00705981763074547,0.00791848739248303
"mest",0.00647565945579216,0.00192153385441072,0.00253636494935751,0.00825525511400275,0.00649906790126964
"pcdhga8(1of2)",0.00553162551018468,0.00382677447814508,0.00305065814723314,0.00907764354388111,0.00157908864717827
"eya3",0.00717915130145125,0.000695888652150086,0.000980866058805437,0.000471181454576161,0.00144210378846443
"ncoa7(2of3)",0.00254838448555969,0.00377080689076924,0.0228765875586645,0.00427080598183893,0.00957924264721944
"LOC107376313",0,0,0,0,0
"eps8l1(2of2)",0.00243586701656118,0.0133412467784995,0.00600625661884655,8.7078692358662e-05,0.00334074898096012
"glipr2(1of2)",0.00327923011355376,0.0148875833085414,0.00274721348515705,8.19134024539072e-05,6.32462802976418e-08
"card11",0.000660524419475027,0.0186552835133993,0.00643471050854675,0.0166789593976093,0.0143508687398423
"bnc2(2of2)",0.000785047083693368,0.00138475907135927,0.00056051411943795,0.0384263635951224,0.00129018963098414
"ptx3(1of2)",0.00128639328174851,0.000155463130167827,0.00774878057319228,0.00594254033107198,8.53888923980332e-05
"znf850(2of2)",0.0069004226152565,0.00211254894880778,0.00464762763875115,0.000147119501031512,0.000195140954011072
"rcbtb1(1of2)",0.00164513446876695,0.0112757955018576,0.0224048261035393,0.000512552424182588,0.00157650757752887
"mylk4(1of2)",0.00615589138182534,0.002604933586127,0.000658309007868171,0.00165302004999271,0.00478802472263061
"fntb",0.000642599256968063,0.0198125543786447,0.000407043253204732,0.000796847069851889,0.0109933458110188
"cpeb4(1of2)",0.00813850400944782,0.000730937540574222,7.16644624487348e-05,0.000195181556600181,9.98294012097487e-05
"kcnt2",0.00706953202820015,0.000784988477922763,0.000975465968306779,0.00225042070903975,3.03980107401875e-05
"rragc",0.00671632259617821,0.00624651908211972,0.000109828476556904,0.00082437584512952,0.000115252190704798
"cuzd1(2of2)",0.00292238877081374,0.000110937486044766,0.00755366098691527,0.00685050085516345,0.00797164011700085
"plekhg3(2of2)",0.00726466892972035,0.000981233160243545,0.00494531307601278,2.60096636493112e-07,0.00191117804276722
"axl",0.00567594416841975,0.00178486455724529,0.00177763187732022,0.0106053351660549,0.00611278913283482
"swsap1",0.00775087992122148,0.000944051854778632,0.000116660557477568,0.000108473393240795,0.00032208564947788
"cpsf7",0.00660736209040903,0.000280137325464631,0.00693466232121708,0.00140397976393234,0.00046553084549931
"fastkd1",0.00644285547026219,0.00408991229601601,0.00198299443339232,0.00121032102310052,0.00746288079818213
"mecr",0.000507313482247812,0.0284438573996205,0.0100209345510704,0.00106277307494907,0.00385492155554787
"LOC107373746",0.00604939735677329,0.000810455382604225,0.00537980799425022,0.00446251221062433,0.00125355167981135
"ttn(2of4)",0.00198853296758721,0.0162055622618633,0.0114214434122374,0.00850333733631987,0.0040852857239969
"cxadr(1of2)",0.000123302750436342,0.0186447281026844,0.0209253642826698,0.00412158483291308,0.00475166511269847
"ampd2(1of3)",0.00546317899009093,0.000612795483290467,0.00248765306039266,0.0150452583873831,7.6148292807286e-05
"LOC107394415",0.00676811918132152,0.000787281012758222,0.00772984469095001,0.000207386150747424,0.000168150019234403
"rhcg(4of4)",0.00533568161525139,3.5352016997862e-05,0.00246626585149039,0.00216295114687784,0.0184287484891823
"s100a5",0.00243543785780812,0.00268036363400161,0.0202160673438391,0.00694072084577101,0.00316703412462737
"ddost",0.0077885480240502,0.0018901809610659,0.000528567060071219,3.48397696489372e-05,5.63302784370845e-07
"vps37b(2of2)",0.00735623350055341,0.000940111130190487,6.26665821309135e-05,0.00376228570441022,0.00220443419262945
"chrna3(3of3)",0.00510850502237565,0.0101377074225288,5.9889422559528e-06,7.08671545264392e-05,0.000100137879741441
"arl4a",0.000122827184524198,0.0364516700924974,0.000875988631513109,0.00164931554017397,0.0015116388298965
"nxpe3(2of2)",0.00535740829828784,0.00986237549710836,0.00224871919772553,0.00254550735117696,0.000177100450128318
"usp21",0.00134437436999316,0.0152150982111763,4.12326826511805e-07,0.000806190937354142,0.00657057454003481
"akr1b10(1of4)",0.00249138227235366,0.00434523322722329,0.0199393529355166,9.87841223691621e-06,0.00837857076564382
"mgll",0.00694008569084407,0.00450084901130039,0.000331353232872146,6.31301989183322e-06,2.40896070331232e-05
"gcg(1of2)",0.00541409189928475,0.012239159800906,1.005071409642e-05,0.00180344428210041,0.000835305678715778
"anln(1of2)",0.00825126615365371,0.000136481768719531,0.000104643801067721,4.88411331278103e-05,0.000138982636040167
"nacc1(2of2)",0.00743781021794025,0.00356380588442875,2.06886251660101e-05,0.000181588082962826,0.000386068294909054
"il2rg",0.00198192380471527,1.1884935150358e-05,0.0111460853980146,0.00368341753803214,0.00483188892275562
"map7(2of2)",0.00115469931390911,0.00420347915309631,0.0235631140531983,0.0081848572741515,0.0154161385471206
"mmp11",0.00708622978389759,7.76878385075736e-05,0.00208450103819894,0.000495176023314201,0.00015798116084724
"cnot11",0.0075897931773276,0.00196036288228073,4.57394555959642e-05,0.00111521951982316,0.00331117600382325
"mus81",0.00594014391715899,0.00412305299161908,0.000587769198018927,0.00769621314953809,0.0076550165311866
"midn(2of2)",0.00797128782367587,0.00155860103816984,2.73561440194372e-06,0.000778137536315589,3.16419204196683e-05
"lrp4(3of3)",5.97145877826843e-05,0.00938504137798776,0.0028443641880745,0.00737320810457043,0.0411395268645193
"LOC107389702",0.00606527221557213,1.11503190933197e-05,0.00753796901219856,0.00336941712010726,6.53627664272128e-06
"wscd1",0.00669394894611877,0.00273261641187014,9.57267281479418e-05,0.00845280984321245,0.00127384197796504
"dusp26(4of5)",0.000554812768893933,0.0108108735158055,0.000187094022175563,3.41330546385785e-07,0.0229432570796191
"pax6(2of4)",0.00723194081714881,0.00186649663187938,0.00211535808960424,0.00216697254614085,5.67531960009265e-07
"arhgef5",5.84734399789388e-05,0.0291512153082504,0.000882008906348419,1.97937785970562e-05,0.00101267024029304
"hist2h2ab(3of10)",0.00793402782686593,8.10462608238073e-05,0.000720784034691872,0.00112882323917076,0.000153160419122922
"LOC107374366",0.00584963877923553,0.000803762543503216,0.00601647261512951,0.00028097885870862,0.00101200925067523
"plin2(2of3)",0.00790735447931882,0.000690363824269375,0.000516479980417433,5.70175126968772e-06,0.000102946458928115
"snapc3",0.00747366040925696,0.000234901669148822,0.00294588254175805,0.000344604373340531,0.00156420311417236
"iqsec2(2of2)",0.00770027163078658,1.53346736090319e-06,0.000480810389096233,8.66791811866579e-06,0.00142644823637171
"lrrc14b",0.000189212337459379,0.00604154095198243,0.000950232339679576,0.0108872209551487,0.000205655239813869
"a1cf",0.00436384277991405,0.00206176016590976,0.020822419630255,0.00048892289090933,0.000998666892806708
"slamf7",0.00012065194312757,3.94789082403682e-05,0.000956335643214619,0.00524602659900885,0.0159988000116626
"vax1",0.00523441573471737,0.00681379165536845,0.00809851425848552,0.000428968544725444,0.00177143781184363
"LOC107372784",0.00477181160385346,0.00221166450534705,0.000553538633909138,0.000117849397755093,0.0149620942466943
"jade1",0.00189362185183849,0.0258319615829881,0.000685960531468981,0.000557458679308491,0.00245818299303666
"gga1(2of2)",0.00697554782108474,0.00116352659830199,0.00045925467235817,0.00187801254184338,0.00369220199699365
"fam83f(2of2)",0.004429803521109,0.00324806722738066,0.00772947768726731,0.00850516092171423,0.00410041308493503
"or7a17(1of3)",0,0,0,0,0
"pdxdc1",0.00523656714898893,0.00187875386782172,0.0165759921105023,0.00227510896127003,0.00017760133677823
"ckmt2(2of3)",0.00627234909708372,0.000377327069586515,0.000328905697805327,0.000330416036523379,0.00191266776958336
"mrpl49",0.000978947356741006,0.000308977305117916,0.000961413765213454,0.0609636564115883,0.0015541191353787
"tmem25(2of3)",0.00119991388897273,0.000569818279463136,1.78186763724515e-05,0.000192365456425315,0.0210682893340401
"mitf(3of5)",9.68153102170531e-05,0.000967776992774022,0.0353082599934457,0.00833337583551033,0.0222193719146131
"or1c1(3of5)",0,0,0,0,0
"srcin1(1of2)",0.00606968073065363,0.00611676515647253,0.000929623704538762,0.00228967801022941,4.63398375637711e-05
"zfp148(1of2)",0.00651910180047185,0.00372120881894885,0.00200282883815098,0.00253932504910715,0.000541474565788896
"cdh26(3of3)",0.00641440903698809,0.000281453061158257,0.0112496128731964,9.97021504501045e-05,0.000856415032614573
"rnf213(2of2)",0.00288666085173833,0.00788904774776214,0.0010638800178101,0.011634524951966,0.0118816944088392
"cep170b(2of2)",0.0025994005219058,0.00079127503346561,0.0293931977823137,7.71942450624117e-05,0.0041261224198193
"glul(3of3)",0.00510300037442062,0.0120202927766681,0.00326472194543191,0.00150969745816156,0.00118098491221143
"atad2b",0.00831396129821291,3.46141086125819e-06,0.000106317510743348,6.46227736925681e-05,0.000198938105291243
"tkt(2of2)",0.00532516245727916,0.000133445190427025,1.22188323897441e-05,0.0123342009906974,0.00788011188758918
"tnfrsf26",0.00416686493735518,0.0118262644366974,0.00806829849679477,0.000373030807955787,0.00454038562224308
"rrn3",0.000701104015191176,0.0367361507011209,3.36498512702401e-06,0.00148548397006046,0.000329274117590225
"tax1bp1(3of4)",0.000565674081410289,0.0343642075972305,0.000590335204901936,1.1264756370815e-05,0.00192096601417032
"gabrb1",0.00497161999138181,6.48422389223564e-05,0.0125806157892059,9.73911752650811e-06,0.000516975547410804
"cers2(5of5)",0.00592492755623037,0.00720863832773299,0.00276634227488131,0.000635142921531274,0.00196952077234706
"hook1(2of2)",0.00632621788967734,0.000810884837437654,0.00311624619285069,0.00241485170861278,0.00167908872334155
"h1foo",0.00750182549798427,0.00011220049051115,0.00462926965512167,6.33760652237359e-05,0.000337417593052783
"nphp4",0.00747519502547104,0.00221915010347689,2.7880034996642e-05,0.000118759438239079,0.000110740719536705
"lrp2(2of2)",0.000793748173891677,0.0152214948930964,0.00125338008416582,0.00348307026868224,0.0615271440787925
"rab40c(1of2)",5.14162941850185e-05,0.0195644267164492,0.00433931866742983,0.0159874750404104,0.0147417941153914
"eef1a1(1of5)",3.80338546726706e-05,9.13902879946655e-05,0.00977902353086906,0.0482433063143751,5.41235939604763e-05
"lgi1(1of2)",0.00210541194877856,0.0234336970916538,0.00426309384674168,6.40586862380641e-07,0.00258551487213396
"spon2(2of2)",0.00303442420227711,0.000547195076773674,0.0273504222524003,0.000408544549634899,0.000340981725875277
"ppfibp2(2of2)",0.00723223986034221,0.00417256391303851,0.000928798569025922,5.18675208911608e-05,0.00179709360045845
"thtpa",0.00799675158109978,4.53066695135053e-05,0.000131830838319792,0.00230890545566044,0.000766220539786186
"scrt2(2of3)",0.00309682404870095,0.0154509214407541,0.013675869136609,9.60103101977725e-05,9.14121251019085e-06
