id,qval,Log2Fold
egln3,7.83E-09,0.983104737
rsph3,8.79E-09,-0.834102781
khk,1.13E-08,-0.80773602
serp2(2of2),1.13E-08,1.18548458
nceh1(2of2),1.28E-08,-0.863524994
l3mbtl4,1.30E-08,-0.724887733
slc12a5(2of3),1.30E-08,-0.92752054
atmin,1.31E-08,-0.895562231
myh10(2of3),1.34E-08,-0.651493137
pycard,1.35E-08,1.683754871
mta2,1.35E-08,-0.619659337
ttbk1,1.37E-08,-0.798539759
xpnpep3,1.44E-08,-0.89567323
mat2a(1of3),1.64E-08,0.997935631
plcd3(2of2),1.78E-08,-0.613966913
zhx3(2of2),1.83E-08,-0.840299079
rnf185,1.90E-08,0.642692084
slc25a15(2of2),1.91E-08,-1.211165506
ccdc88c,1.99E-08,-1.027640771
tuba1c(4of10),2.11E-08,0.732168759
LOC107376995,2.22E-08,-0.640417741
gadd45g(2of3),2.23E-08,0.829694268
dnmt3a(1of2),2.40E-08,0.652707502
ttc39a(2of2),2.56E-08,0.885519552
zpr1,2.62E-08,-0.707199875
chd4(2of2),2.86E-08,-0.641227194
hgd,2.96E-08,0.630805528
slc46a2,3.08E-08,-1.143379466
sat1(1of2),3.17E-08,1.844108506
prpsap2,3.36E-08,0.674709938
ccbe1(2of2),3.38E-08,-1.734967385
neb(3of7),3.50E-08,-0.753989051
LOC107373436,3.72E-08,1.104652162
thap4(2of6),4.13E-08,1.122964143
tdp2(1of2),4.13E-08,1.101477586
LOC107390281,4.36E-08,0.654464442
aak1,4.44E-08,-0.602754267
lamb1(4of4),4.51E-08,-1.218378255
rock2(1of4),4.57E-08,-0.691748554
flot1(2of2),4.61E-08,0.589444689
ppip5k1(1of2),4.70E-08,-0.621782938
zbed4(1of38),4.89E-08,-1.034993623
gpd2,4.96E-08,-1.1498865
coq3,6.39E-08,0.648405031
adgrg6(1of2),6.51E-08,0.809185059
stmn1(2of2),6.65E-08,0.645188287
nipal3,6.98E-08,0.577250315
brd8(1of2),7.18E-08,-0.645528228
zcchc9,7.91E-08,0.564865624
zcchc2,8.10E-08,-0.847043618
mapkbp1(1of3),8.25E-08,-0.98390095
otud1(1of2),8.49E-08,0.875223415
ppp1r3c(3of3),9.19E-08,0.662794639
spef1,9.24E-08,1.007151398
LOC107397037,9.29E-08,0.759180182
f10(1of3),9.46E-08,0.780208119
plcd1(2of2),9.49E-08,0.625228998
mettl6,1.01E-07,0.96698412
ecsit,1.01E-07,0.623889175
megf9,1.04E-07,-0.891271991
rbp4(1of2),1.12E-07,1.110394773
fgl1(3of3),1.14E-07,-0.771998252
arl6ip5(2of2),1.30E-07,0.575038529
zfp36l1(4of5),1.31E-07,0.754276037
tmem97,1.32E-07,1.177272998
plekho2,1.39E-07,-0.973767356
gm17296(2of2),1.39E-07,-0.917457111
sh3bp5(2of2),1.40E-07,-1.668478095
ankrd6(2of2),1.43E-07,-0.564623412
LOC107395854,1.50E-07,-1.393953016
