id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,NonD_Lib21,NonD_Lib22,NonD_Lib23
thoc3,44.35929794,43.94012095,42.49891758,6.498960781,7.126923715,8.130567515,12.56130065,12.4026438,9.949312046,18.238696,21.27140503,24.27360068,41.33401995,48.62655812,57.21844414
thoc5,84.38843751,93.20309667,87.20499709,68.98381346,61.61013044,57.61502561,83.65204494,72.03274629,67.07233456,57.34991825,80.00559556,64.47245292,78.82851466,80.92465687,97.46610729
thoc6,42.12879531,41.40688928,44.39812324,30.93393703,24.22775851,30.07735496,34.06958447,33.99920426,33.53219704,40.61870076,47.54928408,43.76221971,38.3338894,43.01009711,47.38337724
thoc7,77.22105657,83.83160845,80.89661702,44.0356809,42.48053164,33.12542169,41.59683607,37.60555798,39.66610763,34.14004925,37.31669932,39.68517208,95.44388743,100.4037999,117.3556073
thop1(1of3),77.63243969,68.88474525,57.7860843,29.65388532,28.93393958,30.90424631,35.26095046,34.81462086,32.03798884,31.01343085,37.1692563,34.54711316,73.54434968,79.26033751,84.83191611
thop1(2of3),3.558271347,2.690010356,0.559443499,0.992510246,0,7.105374207,0,2.527627324,1.365786633,1.455761449,1.568047001,5.02363836,2.961577885,2.438970296,1.819477414
thop1(3of3),10.37026656,11.21352666,8.025112778,12.50609556,16.32899992,14.04100829,21.01370388,22.26769605,25.30178989,7.037698359,12.62348228,5.997606379,5.593312313,5.384884845,5.926275291
thpo,0.262011286,0.143457571,0.142190304,0.639115558,0.81011809,0.774221438,0.656078834,1.042590541,0.685866372,0.208395443,0.536742676,0.817152466,0.402280776,0.222724134,0.210721984
thra(1of2),0.997376485,0.785231641,0.389816689,0.845579215,1.147761494,0.433077017,0.534430613,0.545715675,0.763604619,0.953231407,0.900377607,0.678151039,0.676512461,0.687417096,0.511791625
thra(2of2),1.909754865,1.667173319,1.629188418,1.338303013,1.697651876,1.725713878,1.518163861,1.471423873,1.336631575,1.57473451,0.906294806,1.214270162,1.728038828,1.659656476,1.318682443
thrap3(2of4),33.85732654,21.85548255,25.03032469,15.17742649,16.67630068,19.63277501,13.48244114,13.13093128,17.10609624,28.1876494,12.08963084,15.27316331,31.84490685,29.96247218,26.06436928
thrap3(3of4),4.314444012,4.551902514,3.291934421,0.428994392,0.843812878,2.810404676,1.607742829,2.431055848,2.644865625,5.130855557,1.649928633,2.396919299,5.208580056,5.442996935,3.428300012
thrap3(4of4),16.54295333,16.42963234,17.57416856,18.04171079,17.71554958,11.61740403,11.78579893,13.45478239,14.03372588,7.194324332,6.927969393,6.34339278,12.25424543,12.23659599,12.30644065
thrb,0.747836208,0.678787628,0.579891808,1.062874101,1.083344894,0.893119516,0.91146943,0.969153658,1.245672684,1.160055376,0.464281875,0.546069867,1.391688868,1.232270191,1.091453602
thsd1,1.066175115,0.946482038,0.901539846,3.77120186,3.533979617,3.786345116,2.952214867,3.582553786,2.295083144,1.847402438,2.096737875,2.105377272,1.036844585,1.305498394,1.785648704
thsd4(1of2),38.05571944,37.98404077,37.85672937,59.29384129,84.5245841,74.16333344,54.57159326,60.38052233,58.78643834,40.57935465,35.54660188,35.60480995,29.89983395,28.84350421,27.82328964
