id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
src(2of2),0,1.255538465,0.60102883,1.068570687,0.7474057,-0.115520575
ncf2(2of3),0,1.571568926,1.627879507,0.21064228,2.103497493,2.563184366
mmp16(3of3),0,1.36187412,-0.703987198,-0.184398825,0.74533469,1.172970425
atf5(1of2),0,2.575095146,2.802649081,3.689064502,1.94080547,0.212384617
mog(1of3),0,1.796906273,-0.383214512,-1.182898341,-0.993691316,-0.268548975
plvap(2of2),0,3.994443383,3.996320222,1.907830592,1.833590631,0.400337864
fstl5(2of2),0,-0.18317311,-1.42635547,-0.266256949,-0.21550679,0.212757316
nynrin(9of15),0,0.136165394,-1.079101822,0.901575904,-0.375410981,-0.322739502
kcnb1(1of2),0,0.673972572,1.237494915,-0.33328502,0.828131115,0.470765402
lamp5,0,-0.090252626,-0.067294388,-1.679028388,-0.555020138,-0.115486221
zfp449(2of3),0,0.304797769,-0.860071715,0.875220339,-0.216805869,-0.623275245
brsk1(2of3),0,-1.163449972,-0.020986477,0.113766526,0.484216605,0.867136504
grik2(4of4),0,0.249561605,0.287586555,1.019183532,-0.531108865,0.913267518
kdm2a(2of3),0,0.565419092,0.592414016,0.316693167,-0.19939878,0.474682617
cdc42ep1(1of2),0,0.935429771,0.687915486,0.203339716,0.656375246,0.112639804
fam46c(2of2),0,-0.659468086,-1.160988411,-1.428760353,-1.627836401,-1.088824659
gli2(1of3),0,-1.118846266,-0.89122315,-1.253475589,-0.222724801,-0.138062463
rasd1(3of3),0,0.777020963,1.285688743,0.514220379,-0.079706967,-0.42370345
LOC107374074,0,1.564278932,1.749503667,1.109911417,0.280759027,0.093405015
rabgap1(3of3),0,1.786873547,1.989301418,0.882599617,1.076361823,0.880815416
lgi2(2of2),0,-0.208161592,-0.809683503,-1.559700376,-1.291135239,-0.076627164
plpp7(1of2),0,-0.535424298,-0.326250763,-2.202116152,0.048462003,0.760271255
epb41l3(3of4),0,-0.55847539,0.395012272,0.511939798,-1.007901693,-0.170433042
il6st(5of7),0,-0.818554452,0.094647424,-0.954762051,-0.084566483,-0.581339883
nfam1,0,2.636301385,3.350503918,3.142807083,1.664689022,-0.062280567
LOC107395551,0,-0.485870169,-1.210939347,0.217602646,0.273793799,0.015511541
oca2,0,1.217819792,1.318687947,1.575300274,3.027762737,2.662032022
znf750,0,2.625845825,1.844712353,1.621592419,1.295846358,1.378908467
med26(1of2),0,-1.201592457,-1.954339315,-3.030422005,-1.301275819,-0.80544352
tpo(2of2),0,-1.202060575,0.041076829,-0.163154089,-4.308466811,-0.38856602
mgarp,0,-0.485546765,-0.788365109,-2.458103824,0.158233037,-0.618675266
sctr,0,-0.793841943,-0.590491995,-0.264991474,-1.018405875,-1.206614181
rbp1(1of2),0,-0.665209864,-3.037188762,-1.272620505,-0.576907998,-1.097757133
rhag(1of2),0,-0.762922393,-0.918911034,-1.409727296,-0.782987459,0.497719706
gal3st3(2of5),0,-1.931225318,-1.197662471,-0.743043275,-1.00766471,-0.389592449
parpbp,0,-3.055352201,-3.659709248,-3.418322426,0.262761034,0.613318529
LOC107383623,0,-2.865177508,-1.647384548,-0.244691267,-1.468599381,0.852133299
LOC107390450,0,-0.605637589,-2.576860824,-0.193742023,-1.308151701,-0.340736161
agtr1a,0,1.253295737,0.812806281,0.639895695,0.032080806,-0.280833669
wisp3,0,-0.572707739,-1.18743803,-1.115614994,-1.022802827,-0.7855736
hmcn1(4of8),0,-0.312559127,-0.00105617,-0.279713884,1.057790737,0.962483555
nell1,0,0.305918976,0.252950699,0.257467671,0.028886397,-0.246522976
mag(4of6),0,-0.670859562,-0.70008312,0.743413808,-0.399757956,-0.031091469
LOC107382071,0,1.05498787,-0.206369967,1.254983702,0.359628128,-0.093214525
stmn4(1of2),0,2.884115741,3.049048507,2.647520432,3.175004377,1.651970021
peg10(2of2),0,-1.792730705,-0.961570289,-0.722692637,0.02662102,-0.275493279
pth1r(1of2),0,2.549668096,1.917949934,1.772476017,1.519701442,1.860984269
masp1(1of2),0,1.459750053,1.18557798,0.057744107,0.544398296,1.20973098
mical3(1of6),0,-0.419972464,-0.20800995,0.963081527,0.145759018,-0.126926178
ap1s2(2of2),0,1.055814038,1.395619603,1.647229531,0.783209767,0.17756077
mprip(1of6),0,0.265567068,-0.632339919,-0.517529538,-0.521932133,0.256505366
lamp1(1of4),0,0.391572482,1.278870399,-0.733162774,0.986490781,0.89931701
npc1l1,0,-3.325003376,-1.113786935,-3.038298725,0.852614868,2.717292971
LOC107388105,0,0.241983557,-0.031682917,-0.164574912,-1.020483444,-0.380460465
ikzf4(2of2),0,-2.0499051,-3.322742006,-2.063737555,0.342241622,0.148040197
lrrc8d(1of3),0,0.431664975,-0.214816954,0.067710602,0.350982824,1.063406061
vim(1of2),0,-0.239730762,-2.350291409,-2.788691386,-0.25556578,0.397009748
lrrc16b(3of3),0,0.057144,-0.912199289,0.038683254,0.13595289,1.124628817
cacng3(2of2),0,0.301169907,0.559798316,1.207771142,0.698901698,0.235742024
mbnl1(2of2),0,0.297768027,-0.591874049,-0.50867262,0.443820986,1.393282496
tmem173(2of2),0,0.421738477,0.35721047,-0.441472145,-1.177869711,0.353753096
slc17a6(1of2),0,1.806336888,1.249989967,0.978433404,2.448328542,2.415318521
prkca(2of3),0,0.339599918,0.426010916,0.254045077,0.345465752,-0.085799272
tigar(1of2),0,1.128452254,2.125298664,1.578018861,0.540462965,0.456795219
pcdh15(2of4),0,-0.202633425,-1.767988019,-0.970738662,-0.804451943,-1.72465163
trim16(9of15),0,-0.978941396,-0.614825726,0.588733851,-0.599999317,0.495615873
mstn(1of2),0,-0.541563347,0.100311916,0.193579577,-0.260645378,-0.514963657
cit(1of5),0,2.202581646,2.160137786,0.767684781,0.84091715,0.306872383
clec17a(2of10),0,1.170689942,0.618545453,0.339182435,1.747853588,0.248782496
gcsh(2of2),0,-0.997994094,-0.795466852,0.380134742,0.76895224,-1.227467422
fitm1(1of2),0,0.832745769,1.380599211,-0.576542242,0.528382671,0.395779571
trim47,0,-1.225611662,-0.194248746,-2.965009625,-2.161212407,-1.467455067
arrdc3(4of8),0,1.977095858,1.271463691,1.086040605,1.314376526,1.800473195
ehd2(3of4),0,-1.297606346,-0.47143523,-0.566734876,-0.602034895,0.26696324
gcnt2,0,3.449456901,3.976465756,2.830940323,0.555181753,-0.169217863
csf3r,0,2.107102579,1.241129156,0.727749162,1.458233734,1.681506326
haghl,0,0.964450279,1.420411446,1.210807056,-1.330925676,-0.150859219
fkbp1b(1of4),0,-1.630420563,-1.936441118,0.26791242,0.527715686,0.531468777
vopp1,0,-0.233227883,-1.039869967,0.466383098,1.153300814,1.432703056
ugt2b4,0,1.362146284,0.759717068,0.783120356,-0.121891146,0.173520332
lrrc4(1of2),0,1.327697367,0.644910283,0.858486585,0.611301139,1.608312373
LOC107377315,0,-1.002313914,-3.257305794,-0.429222211,-0.808971213,-0.414610146
acsf2(2of2),0,-0.362356234,-0.953484513,-0.14351239,0.118380425,0.788239682
hoxa13(1of2),0,3.54125972,3.194509893,1.535549738,1.951200519,2.768754347
LOC107373908,0,-1.191932659,-0.241656166,0.163698148,-0.625713081,-0.356030511
dusp26(2of5),0,0.610359297,0.676313614,0.923137506,0.76174456,0.978887615
shisa6(1of3),0,0.977045548,0.570014251,0.314834726,1.399729754,0.962099422
grm3,0,-0.371159448,-1.11314494,-0.99743404,-2.16881233,0.390836338
rexo1(1of2),0,0.317445001,1.311930746,-0.020514994,-0.814215382,-0.400538777
nlrp12(4of4),0,0.497362182,-0.034933275,0.592391579,0.523747519,0.415247873
erbb4(2of4),0,0.164541691,-0.202660672,-1.30558127,-2.172677867,-0.754242223
acy3,0,0.925833302,0.189201278,0.616846502,-1.057266939,-0.155411092
LOC107379850,0,0.052542277,0.516383975,1.057941579,1.301041391,1.425532519
ankrd63(1of2),0,0.056954277,-0.358769681,-2.055183206,-1.345068689,-0.060465023
osbpl1a(2of3),0,0.453684909,-0.104458026,0.0212864,-2.175940918,-1.166214615
LOC107373498,0,0.15244308,0.590570295,-1.352409407,-0.618162824,-0.222783206
rgs6(2of2),0,1.022531375,0.53384111,0.518843927,-0.329623163,-0.039024784
metrnl(2of3),0,1.131885569,0.260623159,-0.236985011,0.675702702,0.665937496
LOC107382837,0,1.259902296,4.348892256,2.960156734,1.079053108,-1.383539523
rimbp2(3of3),0,0.349196264,-0.421639525,1.323372241,-0.824223787,0.176040835
tmem17(2of2),0,0.277599648,-0.087283037,-1.216150544,-0.560018954,0.155920467
gucy1a3,0,-1.373958442,-2.414754258,-1.578052541,-0.139980949,1.173198114
cxxc4(1of2),0,0.758934252,0.770167368,1.191729381,1.189558487,0.569345208
htr3a(11of11),0,-1.65899092,-1.441476069,-2.642662468,-4.358859535,-1.144877184
nefl(3of3),0,-4.358859535,-3.561341043,-0.689773103,0.108415027,0.098486397
slc6a13(1of6),0,0.815052673,-0.260375896,-2.550883384,-1.351722915,-1.104932923
prkrir(2of5),0,-0.175697734,-0.025519725,-0.326236324,-1.069857218,0.569401421
enkur,0,0.134070212,-0.285682717,-2.243432179,1.235750906,0.650833212
fbln7(1of3),0,-2.021363186,-1.11374686,-0.430323135,-0.629416897,-0.343717687
plcl1(2of2),0,2.540097782,3.682215606,0.841973739,0.473554339,0.456468517
hcn2(3of4),0,-0.073626131,-1.083502713,-1.78311136,-2.903158043,-0.211999474
slc43a1(1of2),0,0.0738126,0.09991999,0.39546568,-1.71817497,-0.322821964
ahi1(1of2),0,-2.389414247,-2.095869699,-4.369262259,-1.076485134,-0.283792855
slc6a18,0,-1.624839204,-1.168475027,0.259448612,-0.021941425,0.805837316
allc,0,2.714751038,2.727831887,3.223156135,2.388625766,1.555851203
adgrf5(4of6),0,0.2898224,0.281459972,0.665986962,-0.840304661,-0.067306717
LOC107376957,0,-1.793417279,-0.329705109,0.264963039,-0.636428596,-0.567623256
cytl1(1of2),0,0.498865311,1.352835048,1.741225152,0.204927481,-1.523417612
endou(1of4),0,1.502089524,0.66872109,-0.633533819,1.672351888,1.165269099
snap25(3of3),0,1.808635033,2.071156905,2.226937983,2.452874281,1.455066189
aif1l(1of2),0,0.634090291,0.543965773,0.79056914,0.801342963,-0.53252208
cep290(2of5),0,0.125961611,-0.420517297,0.78469389,-0.641378144,1.129397251
rora(1of3),0,0.389515737,2.524321919,1.560932606,0.199278679,-0.929027096
c3orf80,0,1.09778269,0.757777997,0.164457815,1.05478632,0.889914775
sgms2(1of2),0,1.426647134,0.861817206,2.53701785,0.994835696,0.196723108
ntrk1,0,0.439832042,-0.170831275,-0.502545216,1.704616425,2.356338067
gabrb3(2of3),0,1.193168746,0.833904523,1.244697542,1.879890205,1.681343131
lama3(2of4),0,1.935417999,2.047808605,1.769676055,1.009041018,0.669882651
LOC107394866,0,-1.218734477,-2.405972998,-1.3511489,0.565399279,0.980497656
evi2b,0,-0.109701614,0.071626278,1.071607226,0.644059935,-0.044494732
syn2(2of2),0,1.531441222,1.17686305,2.019523338,0.988067812,0.681481716
epha6(1of5),0,-0.41207286,-0.677848612,-0.506999347,-0.472030515,-0.816760192
nlgn1(2of2),0,0.65380992,0.343448981,-0.468893999,0.859717914,0.289976638
LOC107372990,0,-1.306937274,0.078402972,0.061951584,-1.740478241,-0.345692011
arl11,0,2.140626125,2.059945593,1.520518289,1.726240743,1.56637674
cdk5r1(3of3),0,0.968030618,1.679101401,0.891581676,2.241890748,2.306675003
pcp4,0,-2.658515798,-2.465944526,-1.662958681,-0.660919477,-0.380918387
tppp3(2of2),0,1.231660572,0.786450512,-1.659861038,1.864336456,1.167146004
card9,0,1.701232444,0.84999577,1.011936982,0.378220995,0.324173573
efcab2,0,0.199344908,0.382199958,-0.73984489,0.282441377,0.570465399
acer1,0,-0.279325221,-0.049718897,-1.48931667,0.464593624,0.846601737
slc18a3(2of2),0,2.283114383,2.013685877,1.201141075,1.981548575,1.629146148
LOC107383110,0,1.310286292,-0.544758086,0.114775762,-0.189153635,0.610824344
snph(2of2),0,1.979517633,0.629321374,0.655282164,0.36976307,-1.079406086
cdk14(3of3),0,-1.410790918,-1.252525872,-1.675717406,-0.332901932,0.167340805
spire2(1of2),0,1.633947452,1.761268521,1.169696063,1.785398253,0.805349787
hcn2(4of4),0,1.074137602,1.10872037,0.492859997,0.542286955,0.185067402
b4galt1(3of4),0,2.054929566,1.920786752,0.946349108,2.150604585,2.24769945
exd1,0,-2.316766523,-0.219001674,0.031060945,-1.118046159,0.110495166
krt222,0,2.114711114,2.214015409,1.901696721,0.832992311,0.713535073
kcnq5(4of4),0,-0.788771323,-1.011023261,-1.719617615,-1.404861536,0.025701827
LOC107379132,0,-0.521370944,-0.29853198,-2.003279099,0.961526702,0.575051584
gabra5(1of2),0,-0.413994521,0.336016209,-0.879110326,-0.677375682,-0.5672566
def6(1of2),0,-0.638520203,-0.040030219,-1.021518087,0.833028627,0.780875784
slc12a3(2of6),0,-2.722532524,-1.181181465,-2.311676327,1.020915141,1.579625579
LOC107373238,0,0.342919201,1.143380642,1.397471881,-0.066684988,0.334436343
srd5a2(1of2),0,0.35495371,0.578632299,-0.669292573,-0.679253679,-0.438607329
bcl11a(2of2),0,1.563513689,-0.100537784,-1.061781262,2.69656471,2.809366653
sntg1,0,-0.97854825,-1.931830693,-1.88024677,0.264837772,0.088383003
prdm8,0,-2.656283732,-3.869550784,-2.974891244,0.262749904,0.497700422
gm6377,0,0.403510975,0.00563108,-0.872325766,-0.202406476,0.015166084
cdipt(2of2),0,0.212809699,0.750320144,-0.493831485,0.954229532,1.118436742
sh3gl2(1of2),0,0.734871858,0.292446815,-0.827262322,1.281434575,0.984807523
fhdc1(5of5),0,1.194003243,-1.041975953,-0.757641676,-0.347929621,-0.369980304
tmem238(1of4),0,0.081499985,0.521429297,1.059350565,1.229265196,0.313679148
fosl2(2of2),0,0.430945058,0.443692772,-2.578041268,-0.688118505,-0.671459383
atp6v1b2(2of3),0,-0.207347033,-1.812011122,-1.213889564,-0.945890321,-0.094661861
trim46(2of2),0,0.91487431,0.549724796,1.050231134,-0.076328292,0.125237394
nckap5(2of2),0,1.718109837,0.978411862,0.623565508,-0.076525168,-0.00986894
lmo4(2of3),0,0.339636412,0.453523661,-0.796066092,-0.0774739,0.10333795
pou4f3(3of3),0,1.008291609,0.577273804,0.425786197,1.962360657,1.839036449
prss35(1of2),0,-0.576887674,0.143761019,-0.723612942,0.438048215,0.787989169
lrrc9,0,0.846594314,0.928375341,-1.179069189,-0.355382061,-0.014880464
fam131a(2of2),0,0.964482065,0.288431118,0.010320549,0.247928585,0.783401385
otud1(2of2),0,-0.665075767,-0.262300951,-0.124734947,-1.42577077,-1.890628752
cyb5d1,0,0.745319003,1.522769676,1.914157292,1.00121467,0.065088373
evx2,0,1.28969648,0.659850677,0.711914385,1.319045887,1.489264483
trpv1(1of2),0,1.453758343,1.516359167,1.052157666,1.791454419,1.743093766
tspan1(1of2),0,0.391629547,0.617426863,-1.927603811,-0.362483815,0.38262893
esrrb(1of2),0,-2.943715416,-0.412116,-1.706574304,0.427459448,0.793278117
opn1sw,0,-0.545596214,-1.486966686,0.192333422,-0.365518888,-0.223881185
f2rl3,0,0.017584758,0.210317276,-2.888498832,-0.524985999,0.139020622
gpr153,0,-0.753939547,-1.152282286,-0.016102515,-1.146768589,-0.489913809
kiaa0319,0,1.683208319,1.371689595,1.340921601,-0.092013443,-0.980713004
rnh1,0,-0.316224594,0.340800635,-1.579953228,-0.525238286,-0.362667214
LOC107378686,0,0.207257317,-0.658014282,0.872511672,-0.366873019,-0.131103593
adra1b(3of4),0,-1.003730355,-1.079638363,-0.878323688,-2.976507075,-1.39587794
acot7,0,-2.866817119,-2.3813103,-2.71676693,0.80448469,0.751372218
gria2(1of2),0,1.937237623,2.153916644,1.892328023,1.851564926,1.324534996
slc2a1(2of6),0,-1.580174983,-1.427971807,0.062524463,1.441921717,1.69839815
wasl(4of4),0,-0.794012164,0.401266051,-0.433815703,-0.368855751,-0.334707242
slc22a5(3of3),0,-2.14688167,0.04952305,-2.637354785,1.562702041,1.894007269
cyb561,0,1.455285194,1.904760682,1.806569743,2.73689907,1.932374454
vwa7(3of6),0,1.171126304,-0.382687377,-0.073143265,0.419672767,0.257575936
flvcr2(2of2),0,-0.136318435,-0.516864366,-2.273490642,-0.711257856,-0.741611756
pcdh15(4of4),0,-1.592070204,-0.431806044,-0.738736702,-0.711257856,-0.740630785
clcn1(2of2),0,-1.352946778,-2.281370308,-2.294318838,-0.472669944,0.353844224
chst5(3of5),0,0.811724108,0.379202914,0.18962154,-0.922713288,-0.436775241
sv2c(1of2),0,0.174792525,0.180714809,0.469911905,0.979855286,0.977085703
dzank1,0,0.928490476,1.070939487,0.624418959,0.121019164,-0.35017157
nxph4(1of2),0,-0.260154501,-0.559138725,0.583076928,0.121019164,-0.109766012
lmln(2of3),0,-0.307093377,-0.278921726,0.342584434,-2.280428693,0.461158165
astn1,0,1.700244321,1.757721087,0.640089507,1.427738451,1.777475826
plppr4(3of3),0,-3.024567216,-0.878706429,0.34462092,0.44259491,0.763080826
tmem132d(5of7),0,0.557988252,0.290489966,-0.334991608,0.854121267,0.183802132
LOC107372489,0,-2.498846879,-0.663517419,-1.896834186,-0.406633728,1.148959783
hao2,0,0.140414223,-0.764867528,-2.613117304,0.647296281,0.187848249
bdkrb2(2of4),0,-0.244423716,0.34775128,-0.938848027,-1.453410488,0.134445376
hydin(1of3),0,2.165858336,4.04537804,3.79814335,1.986311292,0.582987806
gfra1(6of7),0,0.323611835,-0.124681509,-0.446957724,-1.454020526,-1.923403548
adk(1of3),0,0.090494918,0.127309505,-0.305780595,0.784721383,0.738306089
fam19a2(2of4),0,-0.179006754,-1.156291253,-1.50366515,-0.115153527,0.568766448
kiaa1549l(2of2),0,0.259601171,0.797472099,0.524204769,0.003787231,0.941806792
march9(2of2),0,-1.005849139,-0.647870861,-0.072289181,-0.116312375,0.037678351
il18r1,0,1.033047217,-0.300153173,1.067819206,-1.171820024,0.419121146
alpi(1of2),0,0.313634933,-0.003855023,-1.064158801,0.310481866,0.152614468
trim80(10of16),0,0.672086635,-0.273697748,0.373949138,-0.730754133,0.120495356
faah2,0,1.76133889,1.172120224,0.597203783,1.793243694,1.844567888
nipal2,0,-1.279148092,-0.024535658,0.321132402,-0.936584567,-1.612681495
gpt(2of4),0,-2.568996904,-0.805639184,-3.2493065,-0.119988596,0.083942289
amigo2,0,-0.319659272,-0.235791947,-3.572775928,-2.293099703,-0.306750298
srgap1(2of2),0,0.183051861,0.432968004,0.405419241,0.964871121,-0.149529257
slc20a1(2of2),0,-0.222970914,-1.054121905,-1.355163345,-0.709926427,0.670273226
dcst2,0,-1.682813754,-3.165417875,-1.190448517,-1.465211465,-1.142889075
c1qc(1of2),0,0.085420595,-2.290991859,-2.2157652,0.104361594,0.60412776
fam20c(2of6),0,0.429789081,0.312261403,0.35980056,0.391686892,0.839985679
camsap3(2of2),0,-0.156573304,-0.700334064,-0.711663261,1.125573774,1.512155119
slc28a1,0,-0.145764244,-0.456542731,0.051260554,0.83685987,-0.429838074
scd(2of2),0,-2.095793157,-0.581874852,-2.196463181,-1.366506228,-1.059845172
glis1(1of2),0,1.01044131,1.065692335,0.356455152,0.629218898,-0.855571202
ncf1,0,-0.374744544,-2.003425101,-0.338910384,0.202306855,-0.420738344
pcdh20,0,0.251559865,0.886468989,-0.536891356,0.387901289,-0.018477148
crb1(3of4),0,1.588539762,0.853280865,-0.51023994,1.90799023,1.93502229
arhgef33(1of2),0,0.06098153,-0.144424751,-0.056106937,0.698072738,1.167116509
dlg4(1of2),0,-0.357482947,-3.475499147,-0.679243298,1.361065496,1.79172253
gbgt1(3of4),0,1.070843328,0.676497618,-2.467604104,1.35799653,1.282035885
csmd3(8of9),0,-1.066076039,-1.05862934,-2.494247319,-0.747929048,-0.080202273
LOC107385842,0,0.406711256,-0.669542579,1.316258445,-0.57041052,-0.272490058
pcdhga10(8of15),0,0.999885495,0.188860484,0.500468716,0.406557188,0.486488619
unc13d(2of3),0,-2.271239966,-0.388357482,-0.637704178,-1.07066734,-0.996997439
pkd1(1of3),0,-0.181739599,0.401931093,-2.316795219,-1.197302722,-0.246367167
cep170b(2of2),0,-0.033087191,0.774924276,1.342113007,1.737155042,1.572282311
tmem163(1of2),0,-1.106190574,-2.259725127,-2.332753289,-1.840288418,-0.831812824
asip,0,0.653711051,0.898617225,-0.467090409,2.120352398,2.415610107
prph2(3of6),0,-0.392118734,0.143252502,-0.524466053,-0.275929995,0.468530362
ano9(1of2),0,2.014729243,1.819096712,0.63482753,1.860237904,1.69632525
p2rx7(8of10),0,-0.06849702,0.144474756,0.371648979,-0.703431352,-0.211002863
slc22a7(4of4),0,-1.132087462,-1.335497593,-0.78236428,-0.424765905,-0.169228749
kncn,0,0.75161816,1.043137183,1.87805839,-1.206161113,0.592874927
dcdc2(3of3),0,1.479839031,1.461766347,0.403278478,1.975509503,1.819540622
p2rx5,0,0.022978642,-1.737357223,-3.21342892,0.677484673,1.042695635
LOC107374366,0,-3.279435616,-4.011055663,-2.342053768,-0.969669202,-0.837354933
harbi1(2of28),0,-1.582768363,-1.012712892,-0.754777529,-0.76524249,0.189795331
kiaa0040,0,1.368805709,1.89151374,1.499857727,1.046337137,0.944099141
dusp13,0,-0.916722039,-0.846738961,0.282752561,-0.427202718,-0.806243581
cerk(1of3),0,0.116597902,-0.22591841,-1.320177819,0.36382852,0.384750948
lrrc34,0,0.076219052,1.052138621,0.659528105,0.743932261,-0.170600772
brinp3(3of4),0,0.804090195,0.422699416,0.430908145,0.177641051,0.524845012
slc51a(1of2),0,0.465360445,-0.346538118,-1.511567916,-0.588118642,-0.090325806
pdzd4(3of3),0,0.773196017,0.937550309,-1.895148913,0.988390665,1.081231539
cers6,0,-0.163753882,-1.088929936,0.120612346,0.742998342,1.17169271
lrfn5(2of2),0,0.387593562,-0.165322048,-0.311802224,0.870324982,1.283028257
cacna1d(5of5),0,0.544170325,-0.053364417,0.607813811,-0.038419468,0.337189803
pik3cg(2of2),0,2.490899007,2.65870453,2.398215315,1.911741367,1.515313034
lrrc49(2of2),0,-0.260956886,0.843856564,-0.305619368,1.289815209,1.178548722
LOC107382216,0,-0.234400572,0.652620141,0.752003639,-0.771145021,0.605416543
fbxo41(2of2),0,1.286106793,1.83241115,2.277937321,1.650457723,0.673226772
xcr1(3of4),0,0.38620761,0.23607372,0.859939715,-0.278924047,0.418582379
pctp,0,-0.884726843,0.024892608,-1.066540719,0.598144682,-0.007400035
mal(1of3),0,0.76115066,0.833806436,1.388898893,0.393967324,-0.031222957
entpd2,0,-1.91241183,-2.819957922,-2.136664029,0.069584396,-0.17552536
arg2,0,-1.091940682,0.453422146,0.233279146,-1.215518661,-1.752234263
cdca7(1of2),0,0.823280006,3.159819449,3.454954878,1.848547204,0.219171727
slc16a6(1of4),0,-2.543398534,-2.935827161,-0.855119576,-2.330145414,-0.121211084
LOC107384653,0,2.376351998,1.324971497,-3.854773104,-1.858417219,-3.478936798
atp6ap1l(2of2),0,-0.106573688,-0.361110222,-0.648349922,1.417074505,1.379660948
pcdhga10(5of15),0,0.300704697,0.178938733,-1.179818449,-0.084230578,1.348895868
rbpjl,0,-0.015511879,-0.784863279,-0.047982616,-1.507653324,-0.622938677
ablim3(2of3),0,-0.067463141,-0.238763424,-0.868307546,0.062598308,-0.53907833
tdrd12,0,-0.42550135,1.272474539,1.528300469,-0.301954501,-0.501937073
htr2a(1of2),0,-0.631646403,-1.493617935,-0.49372994,-1.226403218,-0.001645836
gpr22(2of4),0,1.636843998,1.729583836,0.158510201,0.430773706,-0.160750685
neurod2(2of2),0,-0.37689882,-1.900868125,0.109539672,-1.514294664,-0.518511744
shc1(2of2),0,-1.975878169,-3.429602761,-1.964907451,-0.175525369,0.158733495
itgb6,0,-1.160005203,-1.772132045,-1.446094033,0.5056471,1.0350029
fermt3,0,0.006376325,-0.673113848,0.161792963,1.176478469,1.199450266
cacna2d3(4of4),0,-0.878261201,-1.758585055,-1.561167348,-1.432935532,-2.557517697
fam83a,0,1.383656779,0.12966617,1.791218195,0.049371369,-0.251744062
pmel(1of2),0,0.138289794,-1.755813407,-0.204146285,1.221174585,0.638459105
rasgrp3(1of2),0,1.771815903,0.934215737,0.933213366,0.845702835,0.550593197
snap25(1of3),0,-0.169773224,0.038513387,0.019099926,-0.312141054,0.991248721
LOC107393355,0,-1.81377764,-0.217613387,0.934743827,-1.522623999,-2.48433901
map3k12(2of2),0,0.984125553,0.834169662,1.335548802,-0.610723977,0.19916542
dusp12(1of2),0,-1.345019099,-0.489157319,-0.347439827,-0.751541212,-0.567300864
spi1(2of2),0,-1.441071455,-0.723782758,-1.594610978,-0.065262648,-0.70843766
pld6,0,-0.752297445,-0.430295325,-2.45592614,-0.79788447,-0.419319048
tulp1,0,-2.694713811,-0.771847835,-3.342360445,0.416912679,0.367302193
gimap7(7of11),0,0.438475618,0.897294552,0.220051336,0.484240356,0.683250684
ubn1,0,-1.564716755,-2.724489576,-0.763620282,-4.534437715,-0.700486229
gipc3,0,-2.380863287,-1.924362855,-0.199847538,-1.242411603,-0.847331988
kctd4,0,1.450866428,1.896321408,1.687502142,0.351652929,-0.349843213
lhfpl3(5of5),0,-0.054050045,-0.629587585,0.163189306,-0.187974496,0.811269658
gfi1(3of4),0,1.013766085,0.658347283,0.008829384,-0.622042681,-1.719700255
b3gnt3(2of3),0,-0.537066742,0.274189481,-0.168854746,0.83640133,1.396584526
mum1,0,0.893480428,0.964536288,0.859352143,0.158861545,0.010712136
inpp5j(1of3),0,1.541820142,1.733519505,1.749122083,1.388142954,0.489938757
myoz2(1of4),0,2.083252049,2.005641211,0.584888742,1.65417578,1.452341192
kcnip2(1of2),0,-1.617146104,-1.839463328,-3.653254283,-1.246762596,0.375347118
ccdc64(1of3),0,2.101377679,2.324227583,1.464989059,1.007027988,0.731562171
arhgdia(2of3),0,0.172475389,0.621548532,1.046813014,0.234098332,0.567959366
p2rx3(2of2),0,2.269529193,2.203862126,1.703561117,1.504608952,1.123287246
slc30a2(1of2),0,-1.530445022,-3.339407474,-2.907164852,0.137637499,-0.198504698
cdkn1c(2of2),0,0.498556708,0.377758123,-1.902289917,0.633799377,0.503722649
fam167a(2of3),0,2.649240887,2.640300902,1.278211811,2.191945117,2.163546909
rgs14,0,0.514360749,-0.826047733,-1.381144994,0.702289665,0.371093191
tmem236(1of2),0,1.086041926,0.589690981,1.289669927,-0.077710944,0.537858995
tkt(2of2),0,-0.298652993,-0.434061984,-1.786486538,-0.768830403,0.154419784
ntng1(1of2),0,-1.504620267,-0.233871134,-0.749010878,-1.252661499,0.021437255
car10(2of2),0,1.247093022,1.10596431,0.526018992,0.404549174,0.002848974
slc35f2(1of2),0,1.857949992,2.074798923,1.487796899,1.425561184,0.881688372
ppp3ca(2of5),0,3.286935086,3.279273306,3.441418047,2.767625936,1.84141178
gnat2,0,-2.251078788,-0.590416462,-1.506517825,0.316331414,-0.532744366
b3galt2(7of7),0,0.970653709,0.68962365,0.733630893,0.642841697,-0.261405679
atf7(2of3),0,0.347230768,0.462540263,0.47409755,0.691941401,-0.130798616
grap(2of2),0,1.219709866,-0.263879527,-0.263080281,0.549853764,-0.001339593
itgax(1of3),0,-0.461661691,-2.107517851,-1.028296161,0.019649855,0.166303705
sema4g(2of2),0,0.867813427,0.474200802,0.706260532,1.093831554,1.387318511
cyth4,0,0.982630787,0.68045022,0.624885962,0.618783483,1.17209443
hcn2(2of4),0,0.299159823,0.763661446,-1.077977984,-0.486895653,-0.438839182
kcnn2(3of3),0,1.060263184,0.989025653,-0.426864291,0.215322587,0.296250333
hsd11b1(2of2),0,-1.614020141,-0.043061556,-0.244977827,-0.345110264,0.132407429
