id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
pgap2(2of2),0,3.345170055,3.732830575,3.539476292,2.655370356,1.331452985
slitrk3(1of2),0,2.075674744,2.249572925,0.737230501,-0.098341251,1.500956842
thnsl2,0,2.878525159,3.309481958,1.951772568,3.806474643,2.91434094
cldn4(18of19),0,2.854298066,3.297006652,0.341233898,2.481723977,2.647700443
hrasls(2of2),0,1.74322169,1.615954727,1.159934416,1.879878732,1.386178446
susd2(2of3),0,2.354540213,2.415664991,3.074139639,-1.669081539,1.851849953
rassf1(1of2),0,3.591871811,2.61275475,2.370597175,1.888093827,1.959310258
tmem266(2of2),0,0.508564204,2.585073923,0.531519878,2.054448394,2.631691439
ecm2(2of2),0,6.930514856,5.896665825,2.873263685,4.235875809,4.320734878
pcdha3(5of5),0,1.060718163,1.00180265,2.461404873,0.449372121,2.002701024
got1(1of2),0,2.057944595,3.915581432,4.741129666,2.204618314,1.776080483
glrb(2of2),0,3.065748776,3.626443887,2.881503218,2.327253214,2.450499688
uts2r(2of4),0,2.235899541,2.800621943,2.662359013,0.878427102,0.545340683
vps37d,0,1.145658413,2.994481383,-1.772333128,1.520443997,1.960641894
crybb3(1of2),0,1.365986223,2.760616469,1.867200095,1.516863358,0.495822307
vtcn1(1of4),0,3.280292709,3.382469398,2.254723609,2.974724204,3.024737678
adgrg3(1of3),0,1.249832393,1.727313413,2.816943828,2.117425933,1.798226216
car15,0,2.066290613,1.03317489,-0.745950054,1.923443743,2.098058703
plcxd1(1of5),0,3.582800056,3.304804621,3.359821617,3.929803094,4.025227798
LOC107374456,0,3.307851526,2.858762098,3.555469628,0.826309578,-0.574466243
schip1(2of3),0,2.448940817,3.1056433,1.145789174,2.523210107,1.18026034
c1orf233,0,2.023299276,0.849254357,2.839036468,0.820902167,0.924030219
card14,0,2.438509823,2.054525404,0.818754546,1.880601979,1.308206401
gyg2,0,2.698397666,3.519421976,2.352496373,1.430884569,-0.364793271
trpc7(1of2),0,3.766432522,3.352547004,3.474533047,2.485768203,0.544472895
tgm1(1of2),0,1.481668758,2.635996803,2.329065145,0.775853653,0.182844681
btbd18(2of2),0,2.532733686,3.210176995,2.38652169,2.005572065,0.566457248
spata22,0,1.37315628,1.355671349,1.793842445,-1.910410238,1.151173041
LOC107374876,0,4.188020335,5.204270271,5.739731969,4.583764062,0.623094963
p2ry2(1of2),0,2.076271251,0.958187551,2.857521179,2.039614186,1.710981907
tspan4,0,3.183879732,2.31690921,0.953801773,1.316855391,0.685907462
spock2(1of2),0,2.895924022,2.689459516,3.424900166,2.589715502,1.766049349
ptgis(2of2),0,3.516809774,4.540847227,4.226353535,1.921125636,1.951064726
ticam1,0,3.075907794,1.851301625,0.184546314,3.036897006,3.575632307
sptbn4(1of3),0,1.839350993,1.419995759,1.50196148,2.397533108,1.68243079
mthfd1(1of2),0,2.562237839,1.586331375,0.968318455,1.712737244,1.457500479
nrg3(1of2),0,1.729578486,1.296541585,1.39631652,1.268878262,1.404902904
fam228b,0,1.504346846,2.368840013,2.292714094,1.500861029,-0.17920225
tex11,0,1.803271464,3.029858266,1.872136708,0.976987233,0.51946979
spi1(1of2),0,-0.611886144,0.585162543,-0.03884454,1.882163664,1.205504598
ccdc122,0,3.550306971,4.082842127,2.856686345,2.830756689,1.874248314
marco,0,1.774725331,2.189203445,1.440784907,2.432117412,2.416666526
rap1gds1(2of3),0,2.435342116,1.671033379,1.653942132,1.700360263,0.658649088
cd163(1of2),0,1.07729637,-0.709277882,1.858964618,3.138981494,2.359314497
vtn(2of2),0,3.748060595,4.699264251,3.822407469,4.738113018,4.355144021
LOC107383094,0,1.08308418,1.293784361,1.03974607,0.59827291,0.958365337
gpr137b(3of3),0,1.904882844,1.595732086,1.164989826,2.665389965,0.529886007
abr(1of2),0,2.294337975,1.658882887,2.073335203,-2.074897694,1.571903656
adgrf5(2of6),0,0.635023054,1.940153431,0.137199929,2.142328149,1.912455047
cdk6(2of2),0,1.988255684,2.22077519,3.161430748,1.838621452,1.027340871
sbk2(2of3),0,4.080559225,3.62107349,3.012723703,2.272056766,1.770579815
vstm2a,0,1.865109183,2.363179412,2.092523826,2.598019687,1.157636476
arf6(3of3),0,2.313570449,2.942510611,1.660158759,1.651677056,1.660032343
syk,0,1.803928242,1.591455799,-0.109003354,2.592403354,2.145352079
b3gnt2(1of5),0,1.727393526,2.10235804,2.30030099,1.970839277,1.90243524
mtnr1a(2of4),0,1.470114683,2.415220912,0.523764884,1.184114581,1.092859436
stmn4(2of2),0,3.202640388,2.837776101,3.097147062,3.774226526,3.660471905
galnt18(6of6),0,0.586600112,1.472945381,3.803754698,2.346386684,-0.345232642
raly(1of3),0,-0.095157825,1.04312819,-1.054764262,1.410176909,1.937865982
st6galnac2(2of2),0,1.444696043,-0.019059377,-0.569840997,2.096337964,1.801092902
nptx2(1of4),0,0.845252441,1.469333163,-0.632313457,0.526291712,1.703444366
gucy2c(2of3),0,1.135845259,2.822944952,4.290791439,3.120014291,-0.588526095
rxfp3(4of6),0,1.597430313,2.16359388,0.298102035,-0.664950426,0.252986625
cdk5r2,0,-0.076629563,2.216015726,1.297526609,1.932066538,2.247259669
taar6(2of19),0,2.467093153,0.926570842,1.800846684,1.144081514,0.496185644
ccdc136(4of4),0,2.36044566,2.10799232,3.067227634,1.75006846,1.356889005
ppp1r27(2of2),0,1.660053967,2.315133594,2.750354085,2.70002071,1.539716289
myh7(3of3),0,3.827590226,3.859917734,3.085427573,2.178863825,0.444183937
sema7a(3of3),0,1.608064418,-0.988987741,0.842071057,-0.70413195,1.745777147
tm6sf2,0,1.33823013,0.011565569,2.621526863,0.007521829,1.724155453
gjd2(2of4),0,3.421447403,3.168763765,3.217255855,2.506249344,2.803997226
crp(2of2),0,2.043889303,1.735794646,1.466279687,1.11160321,1.180600807
ca4(1of2),0,2.427561129,2.011118605,2.100198025,1.727931482,2.634959098
fcgbp(3of3),0,2.911938553,3.385037172,1.686219315,-2.195126905,-1.24617562
iqsec3(1of2),0,0.446681376,0.946922584,2.328122724,-0.730461921,0.621775236
gcgr(1of2),0,1.957585999,0.983557042,0.231692825,1.728745693,1.162141201
slc35f4,0,1.321918957,0.73784867,-0.220213387,0.453605858,1.39176462
itih3(3of3),0,1.523352269,1.164201316,-2.199627862,2.017597981,1.992810319
matn3(2of2),0,5.64134944,5.289657364,1.057614418,5.611067163,5.043802914
grk6(2of3),0,1.954553914,0.466971126,1.011124127,2.013085264,2.41106294
pkd1l2(5of5),0,3.612226098,3.605700381,0.6607071,2.901867658,2.71259793
otogl,0,-1.607873794,1.284368365,0.625890389,0.80130909,0.610185066
lhfpl3(4of5),0,1.835919972,2.052163152,2.665208712,1.865152744,1.444763061
LOC107373801,0,2.349091736,2.99811179,3.854940217,1.697336078,-0.831526298
LOC107373368,0,0.397015794,-0.084799477,0.707380977,1.071054273,1.549701321
asic2(1of2),0,0.957726428,0.836012382,-0.139740335,1.501320991,0.611987478
ptgfr(1of4),0,4.362674987,4.239895821,3.633078124,2.94371636,2.09343477
perm1(1of2),0,2.896138978,1.912923861,2.874787121,-0.062426994,-0.336591651
c6(2of2),0,4.416270595,3.866617423,-0.925925177,1.979533863,1.456344357
rims2(4of4),0,2.145660253,0.567870274,1.483388312,2.629538575,2.617656288
syne2(1of7),0,3.865363817,2.630972209,2.866248734,1.463824923,3.224417604
fam188b(1of2),0,1.154843531,0.686171227,0.465364554,1.250413986,1.68920111
prkcq,0,1.753380457,1.23605815,0.948820954,0.72654019,0.914088778
sorcs3(1of2),0,2.593396942,2.668346618,4.58144178,3.600585428,3.158275576
flrt1(1of2),0,2.023120038,1.775771162,2.549626224,1.809436543,1.000316863
fam131c,0,2.000202879,2.348931302,1.84645946,1.245460595,0.920035116
p2ry12(4of4),0,1.249274549,1.668425556,2.003072168,1.245460595,-0.037090498
blnk(1of2),0,2.03031788,1.698130325,1.424663697,0.720477192,1.832667835
c1qa,0,0.873301891,1.514413451,0.695036024,0.999749342,0.633167481
lrfn1(1of3),0,1.791064803,1.980583295,1.51238055,0.714163209,1.154422832
wnk4(2of2),0,0.005420716,0.783605094,1.746296938,-0.828362799,1.859834584
LOC107385472,0,0.822918348,1.008958208,-1.049278792,1.911711743,1.485991019
klf5(3of3),0,3.178442186,3.813818329,2.573884195,1.222450742,0.586268548
hmcn1(1of8),0,1.580480767,0.437223948,1.471694947,3.738249666,4.124320923
LOC107374583,0,2.0752546,0.336455254,0.568160475,1.665887815,-0.357736421
kctd16(2of2),0,0.674150942,1.08019839,-0.378386537,1.744878062,1.864724751
slc23a2(2of3),0,0.947698983,1.730046167,1.315851635,1.584988213,1.000512536
npvf,0,1.276058092,-0.510897576,1.21758444,-0.153910549,1.180019786
gimap7(9of11),0,3.809451338,3.491306317,3.084141616,1.119455625,0.364559731
