id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
rbm38(1of2),2.472568727,1.563015107,2.06480254,2.290914625,2.585954701,3.038865024,1.924115034,1.777524959,1.361709931,1.494616419,1.319494883,1.505981288,0.907349131,0.843769586,0.809056319,0.893355359
rbm38(2of2),40.05291595,40.21948559,40.74831012,34.62096046,40.60064515,29.84900613,27.34568712,29.6873205,27.60665709,18.21354905,19.35970795,16.44252827,23.25346041,25.76648558,25.02217823,29.0530034
rbm39(1of2),125.0775503,124.7839017,114.1662229,63.64545171,92.71082093,58.66805758,68.70992827,89.2249416,67.74543194,55.4559573,57.42204278,58.75183944,107.7440174,124.3766621,137.2712874,132.209924
rbm39(2of2),32.66530843,36.48358865,32.16583554,14.99272385,18.13668287,16.09353503,23.18703844,16.60951309,20.99598998,18.18425148,21.22607777,18.74527611,29.79930657,31.11005532,32.4945751,32.36921988
rbm4,4.344893995,3.83720824,3.820072684,1.952485671,2.341703363,3.623045125,2.671932983,3.224419607,2.48849213,4.345755945,2.015022298,3.524039986,2.524983858,5.389503763,4.402508832,4.235865865
rbm41,10.67621322,12.33586322,14.47228076,28.21066348,30.27082041,28.36224805,29.05727833,28.04915073,27.35833451,32.36446059,33.40395794,35.33648829,20.8911625,11.92346458,11.78423514,11.52548252
rbm42,22.32055354,21.03327384,17.9820273,7.544905218,8.448841226,5.590167024,6.7032841,6.800776115,7.336145831,5.052685809,7.889669733,6.913955188,16.01112946,22.32807244,20.18589421,24.22689429
rbm43,2.555593866,3.556784865,3.045309669,2.230359077,2.553375001,2.180334848,1.548869632,1.180285285,2.37691122,2.061977027,1.875803423,2.085770741,2.299750493,2.306152731,2.534901568,2.359765725
rbm44,1.053164111,0.982588883,1.650484125,0.948094419,2.063650122,2.437871838,0.911445059,1.904655766,2.156414824,1.895857602,1.900822497,2.396708702,0.718240882,0.510506745,0.528563722,0.368574045
rbm45,24.70354361,24.85813511,26.10972141,8.705151497,7.045945616,11.07899272,12.35822637,12.69477456,12.78274678,15.01135421,15.4351702,14.45515371,25.55464523,28.51048583,30.37359489,31.00634529
rbm46,0.202008514,0.234562443,0.291803679,0.447996617,0.350658933,0.335161043,0.57099246,0.388310801,0.524933014,0.651709654,0.347863195,0.229088711,0.189586873,0.07878475,0.208323613,0.21295519
rbm47,6.330648885,7.195601668,6.17512877,7.70527856,6.475119199,4.926019717,3.985926884,4.067709215,6.035586549,2.581235331,2.326741907,2.351890916,6.356394359,9.999002238,10.58889084,11.2895929
rbm48,5.665718081,5.455619911,6.586392466,12.32970885,14.087061,11.78427399,9.678964732,11.55595152,10.40570419,11.64505578,12.11799737,11.02444816,7.376634725,4.595773864,4.770526102,4.808094254
rbm4b(1of4),110.8111601,112.7730835,103.5042654,137.2786971,124.765385,124.5760999,136.8139512,147.6961348,151.3174562,68.59895316,72.02039392,66.7602498,106.9475703,87.70464942,91.28447198,103.7387961
rbm4b(2of4),67.81559931,65.92947983,55.4635893,7.993450711,6.943945619,8.524921967,8.19184071,8.231924607,5.679980007,5.107356859,5.84006608,4.892674383,48.5592305,76.74910134,78.39195956,82.26725853
rbm4b(3of4),65.55116682,57.62103091,56.44467809,47.65417857,52.38397717,46.21000779,50.30418686,57.72586784,54.76726764,105.919743,95.68035021,99.04152874,69.60637018,60.51697548,60.53440734,64.68859683
rbm4b(4of4),110.9206039,93.28288308,85.51528114,9.868860323,14.27784054,15.76467042,13.35351132,12.3261376,10.58310026,10.28348329,10.33824715,14.41393472,59.41668298,111.4644841,115.0580035,104.2768214
rbm5(1of2),128.5347769,132.2819346,113.3264418,219.0051961,224.6744456,258.2864487,283.3346406,271.5549207,258.990114,276.4217527,295.7447123,329.8062637,126.845303,82.13185771,90.37018243,75.59942916
rbm5(2of2),47.2855746,42.8785271,37.71332672,44.14157062,50.71702018,42.71365611,55.35173021,52.41803644,48.8389161,71.31768467,59.54907605,67.21187349,43.80203532,42.54155697,39.67288382,39.13521319
rbm8a,182.2621182,212.4318523,206.4156124,77.83760658,76.10957397,62.94595423,90.60367927,90.65911363,81.6455385,84.29274392,107.2152721,110.0634056,323.2834922,292.2273561,310.292546,353.5974988
rbms1(1of2),11.04341746,10.92388464,11.5400155,13.47382571,11.81127288,11.69792282,10.71459628,12.61593503,13.12835025,13.25386663,11.77292668,10.03565745,9.867360289,11.55361189,11.04891981,11.28333123
rbms1(2of2),13.29445679,10.39590633,10.52038411,8.082917664,8.033170389,7.758622236,6.431242189,8.077622509,6.947856827,15.03705832,8.58046899,7.191068932,7.666010005,11.19279316,9.84091602,10.51085872
rbms2(1of2),11.02853241,12.93943854,14.02598468,19.48636438,19.7948741,18.89743166,20.35903216,20.44709176,20.3276097,33.25422476,26.09513417,26.68921541,15.22265286,11.5462924,10.95298013,11.46315156
rbms2(2of2),17.85231832,19.92693006,22.95411241,31.17144021,29.74816321,29.92845283,22.49750123,28.36311837,23.32181747,34.5036669,27.17037313,26.71833409,21.68959738,19.67616872,18.6828005,19.82445364
rbms3(1of2),0.140132148,0.285170143,0.556220311,1.227282552,0.65108857,0.83235071,0.23552521,0.962318549,0.885276864,0.898574502,0.048046865,0.743268272,0.692057009,0.929844828,0.750658982,0.770024151
rbms3(2of2),1.823360512,2.330100836,2.017640774,3.040646243,2.797242859,2.930011807,1.949280694,2.052620264,2.658837053,3.650077469,1.563387254,1.886323358,2.407635576,3.185023015,3.081455863,2.850047152
rbmx,161.6906027,154.3155596,121.6357403,34.97737091,39.9694411,33.22797964,42.0718415,48.16018339,44.10529688,53.29633996,57.84685816,58.39679938,165.9407956,173.6856677,181.0969717,206.0396822
rbmx2,47.03492944,47.80159162,57.25966559,55.36568266,57.83052833,59.22648989,47.81109024,46.2174692,45.30063883,37.17339833,45.90753918,47.74976706,50.98309115,53.28736046,48.09895294,51.03441178
rbp1(1of2),0.983885999,0.444106772,0.394871763,0.20852919,0.435396837,0.435962959,0.061951335,0,0.103569036,0,0.829310442,0.495606166,0.358871382,0.29838598,0.150102111,0.344918326
